Account,Amount,Date
Main Business Revenue,20318450.67,2024-02-05
Total Revenue,20318450.67,2024-02-05
Cost of Goods Sold,14600000.00,2024-02-05
Total Cost,14600000.00,2024-02-05
Gross Profit,5718450.67,2024-02-05
Administrative Expenses,1127712.35,2024-02-05
Selling Expenses,1325774.90,2024-02-05
Depreciation,127633.22,2024-02-05
Financial Expenses,297417.97,2024-02-05
Total Expenses,2878538.44,2024-02-05
Interest Income,18176.52,2024-02-05
Profit Before Tax,2858088.75,2024-02-05
Tax Expense,1015922.54,2024-02-05
Net Profit,1842166.21,2024-02-05
