id,type,date,recorded_date,amount,recorded_amount,cost_per_unit,approver,preparer,payment/receipt_status,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,15000000.0,15000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,1500000.0,Director,Staff,Paid,Cash,S006,Supplier 6,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,1500000.0,Director,Staff,Paid,Bank Transfer,S001,Supplier 1,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,22627.45,22627.45,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45745.8,45745.8,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,1068.0,1068.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,800000.0,Director,Staff,Paid,Bank Transfer,S007,Supplier 7,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,1000000.0,Director,Staff,Paid,Cash,S003,Supplier 3,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,46979.81,46979.81,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,74676.94,74676.94,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,925.5999999999999,925.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,82626.66,82626.66,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,925.5999999999999,925.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,500000.0,Director,Supervisor,Paid,Cash,S004,Supplier 4,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,91203.96,91203.96,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,925.5999999999999,925.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240105004,Sale,2024-01-05,2024-01-05,1463032.36,1463032.36,1000000.0,,,Paid,,,,P003,Heavy Equipment C,1.0,1463032.36,Cash,C006,73151.62,1389880.74,1000000.0,463032.3600000001,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,88832.94,88832.94,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,925.5999999999999,925.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,48338.22,48338.22,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,925.5999999999999,925.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240107006,Sale,2024-01-07,2024-01-07,2159586.87,2159586.87,1500000.0,,,Paid,,,,P004,Heavy Equipment D,1.0,2159586.87,Cash,C013,107979.34,2051607.53,1500000.0,659586.8700000001,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,70747.99,70747.99,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,925.5999999999999,925.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240108001,Financial Expenses,2024-01-08,2024-01-08,50023.11,50023.11,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,925.5999999999999,925.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Supervisor,Paid,Bank Transfer,S003,Supplier 3,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,63781.14,63781.14,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,747.5999999999999,747.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,17367.28,17367.28,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,747.5999999999999,747.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240111008,Sale,2024-01-11,2024-01-11,749601.75,749601.75,500000.0,,,Unpaid,,,,P001,Heavy Equipment A,1.0,749601.75,Account Receviable,C013,37480.09,712121.66,500000.0,249601.75,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,69689.43,69689.43,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,747.5999999999999,747.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,23656.57,23656.57,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,73796.4,73796.4,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,747.5999999999999,747.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240113001,Financial Expenses,2024-01-13,2024-01-13,28003.75,28003.75,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,24301.99,24301.99,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,747.5999999999999,747.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240114011,Sale,2024-01-14,2024-01-14,1332686.65,1332686.65,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1332686.65,Account Receviable,C012,66634.33,1266052.32,1000000.0,332686.6499999999,,
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,13935.29,13935.29,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,747.5999999999999,747.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240115001,Sales Expenses,2024-01-15,2024-01-15,94522.33,94522.33,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,11866.24,11866.24,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,747.5999999999999,747.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Staff,Paid,Bank Transfer,S004,Supplier 4,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,,
Expense20240116001,Sales Expenses,2024-01-16,2024-01-16,14007.04,14007.04,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240116016,Interest Receivables,2024-01-16,2024-01-16,569.6,569.6,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
