id,type,date,recorded_date,amount,recorded_amount,cost_per_unit,approver,preparer,payment/receipt_status,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,15000000.0,15000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Senior Staff,Paid,Cash,S010,Supplier 10,P002,Heavy Equipment B,1.0,800000.0,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,52785.32,52785.32,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,41401.58,41401.58,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45750.46,45750.46,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,1335.0,1335.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,500000.0,Director,Supervisor,Paid,Cash,S004,Supplier 4,P001,Heavy Equipment A,1.0,500000.0,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,95031.07,95031.07,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,1335.0,1335.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,S002,Supplier 2,P001,Heavy Equipment A,2.0,500000.0,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Supervisor,Paid,Cash,S010,Supplier 10,P002,Heavy Equipment B,1.0,800000.0,,,,,,
Expense20240103001,Financial Expenses,2024-01-03,2024-01-03,76088.96,76088.96,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,1246.0,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240104001,Sale,2024-01-04,2024-01-04,1041848.53,1041848.53,800000.0,,,Unpaid,,,,P002,Heavy Equipment B,1.0,1041848.53,Account Receviable,C014,52092.43,989756.1,800000.0,241848.53000000003
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,90880.3,90880.3,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,1246.0,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,97411.96,97411.96,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,1246.0,1246.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,S010,Supplier 10,P003,Heavy Equipment C,2.0,1000000.0,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,13378.52,13378.52,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,1068.0,1068.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,88037.49,88037.49,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,65994.77,65994.77,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,1068.0,1068.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240108002,Sale,2024-01-08,2024-01-08,1378082.08,1378082.08,1000000.0,,,Unpaid,,,,P003,Heavy Equipment C,1.0,1378082.08,Account Receviable,C009,68904.1,1309177.98,1000000.0,378082.0800000001
Purchase20231231006,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,1500000.0,Director,Supervisor,Paid,Bank Transfer,S008,Supplier 8,P004,Heavy Equipment D,2.0,1500000.0,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,24809.95,24809.95,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,801.0,801.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240109003,Sale,2024-01-09,2024-01-09,1488988.96,1488988.96,1000000.0,,,Paid,,,,P003,Heavy Equipment C,1.0,1488988.96,Cash,C019,74449.45,1414539.51,1000000.0,488988.95999999996
Purchase20231231007,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Supervisor,Paid,Bank Transfer,S010,Supplier 10,P002,Heavy Equipment B,1.0,800000.0,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,71239.16,71239.16,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Senior Staff,Paid,Cash,S001,Supplier 1,P003,Heavy Equipment C,2.0,1000000.0,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,49859.26,49859.26,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,55861.96,55861.96,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,79745.09,79745.09,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240113005,Sale,2024-01-13,2024-01-13,668830.84,668830.84,500000.0,,,Unpaid,,,,P001,Heavy Equipment A,1.0,668830.84,Account Receviable,C007,33441.54,635389.3,500000.0,168830.83999999997
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,49981.5,49981.5,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,18888.02,18888.02,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240114007,Sale,2024-01-14,2024-01-14,658220.2,658220.2,500000.0,,,Paid,,,,P001,Heavy Equipment A,1.0,658220.2,Cash,C007,32911.01,625309.19,500000.0,158220.19999999995
Expense20240114001,Sales Expenses,2024-01-14,2024-01-14,85574.08,85574.08,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,
Sale20240115009,Sale,2024-01-15,2024-01-15,2106067.17,2106067.17,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2106067.17,Account Receviable,C006,105303.36,2000763.81,1500000.0,606067.1699999999
Purchase20231231009,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,S007,Supplier 7,P001,Heavy Equipment A,1.0,500000.0,,,,,,
Expense20240115001,Administrative Expenses,2024-01-15,2024-01-15,46342.51,46342.51,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,
Interest20240115015,Interest Receivables,2024-01-15,2024-01-15,685.3,685.3,,,,Unpaid,,,,,,,,Interest receviable,,,,,
