id,recorded_type,recorded_date,recorded_amount,recorded_cost_per_unit,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $5000000.00.",
Initial20231231001,Bank deposit,2023-12-31,15000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $15000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,800000.0,800000.0,Director,Senior Staff,Paid,Cash,S004,Supplier 4,P002,Heavy Equipment B,1.0,800000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $800000.00, totaling $800000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S004, and the supplier name is Supplier 4.",
Expense20240101001,Administrative Expenses,2024-01-01,31077.04,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $31077.04. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45751.31,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45751.31.",
Interest20240101001,Interest Receivables,2024-01-01,1335.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $1335.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240102001,Administrative Expenses,2024-01-02,72434.17,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $72434.17. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,1335.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $1335.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240103001,Sale,2024-01-03,1126403.16,800000.0,,,Unpaid,,,,P002,Heavy Equipment B,1.0,1126403.16,Account Receviable,C011,56320.16,1070083.0,800000.0,326403.16,,,"On January 03, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1126403.16, totaling $1126403.16. The cost amount for this transaction was $800000.00, with a tax amount of $56320.16, leading to a total amount due of $1070083.00. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
