Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,1290835.16,2024-02-05
Depreciation ,105893.32,2024-02-05
(Increase) Decrease in Accounts Receivable ,-6408987.07,2024-02-05
(Increase) Decrease in Interest Receivable ,-23583.67,2024-02-05
(Increase) Decrease in Inventory ,-5600000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,3500000.00,2024-02-05
Increase (Decrease) in Tax Payable ,819436.82,2024-02-05
Net Cash Flow from Operating Activities ,-6316405.44,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,1726015.08,2024-02-05
Net Cash Flow from Investing Activities ,-1726015.08,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,20000000.00,2024-02-05
Ending Balance ,11957579.48,2024-02-05
Net Increase ,-8042420.52,2024-02-05
