id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,asset_name,asset_type,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,15000000.0,15000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S001,Supplier 1,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,79714.42,79714.42,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45745.880000000005,45745.880000000005,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,1201.5,1201.5,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,886161.25,886161.25,,,Paid,Bank Transfer,,S004,Supplier 4,,,,,,Heavy Machinery4,Heavy Machinery,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S001,Supplier 1,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,51825.36,51825.36,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,46725.01,46725.01,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,1078.1316487499998,1078.1316487499998,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S005,Supplier 5,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,74702.0,74702.0,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,935.73164875,935.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,78889.09,78889.09,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,935.73164875,935.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,Director,Supervisor,Unpaid,Account Payable,1500000.0,S004,Supplier 4,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,38780.99,38780.99,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,68900.09,68900.09,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,935.73164875,935.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106004,Sale,2024-01-06,2024-01-06,748087.14,748087.14,,,Paid,,500000.0,,,P001,Heavy Equipment A,1.0,748087.14,Cash,,,C009,37404.36,710682.78,500000.0,248087.14
Purchase20231231005,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Paid,Cash,1000000.0,S008,Supplier 8,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,87591.46,87591.46,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,935.73164875,935.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,Director,Supervisor,Paid,Cash,1000000.0,S003,Supplier 3,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,42856.74,42856.74,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,935.73164875,935.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108006,Sale,2024-01-08,2024-01-08,2146535.22,2146535.22,,,Paid,,1500000.0,,,P004,Heavy Equipment D,1.0,2146535.22,Cash,,,C012,107326.76,2039208.46,1500000.0,646535.2200000002
Expense20240108001,Financial Expenses,2024-01-08,2024-01-08,52268.2,52268.2,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,19689.35,19689.35,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,935.73164875,935.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S008,Supplier 8,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,93194.55,93194.55,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,11813.06,11813.06,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,846.73164875,846.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,86347.65,86347.65,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,846.73164875,846.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240111008,Sale,2024-01-11,2024-01-11,1151336.63,1151336.63,,,Unpaid,,800000.0,,,P002,Heavy Equipment B,1.0,1151336.63,Account Receviable,,,C015,57566.83,1093769.8,800000.0,351336.6299999999
Expense20240111001,Financial Expenses,2024-01-11,2024-01-11,57634.9,57634.9,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,846.73164875,846.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240112001,Financial Expenses,2024-01-12,2024-01-12,20862.57,20862.57,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,846.73164875,846.73164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S004,Supplier 4,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,53549.48,53549.48,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Sales Expenses,2024-01-13,2024-01-13,20833.95,20833.95,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,704.33164875,704.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240114010,Sale,2024-01-14,2024-01-14,693546.26,693546.26,,,Unpaid,,500000.0,,,P001,Heavy Equipment A,1.0,693546.26,Account Receviable,,,C002,34677.31,658868.95,500000.0,193546.26
Expense20240114001,Administrative Expenses,2024-01-14,2024-01-14,31910.69,31910.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240114014,Interest Receivables,2024-01-14,2024-01-14,704.33164875,704.33164875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
