Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,5000000.00,2023-12-31,627601.28,2024-02-05
Bank Deposits,15000000.00,2023-12-31,-129032.26,2024-02-05
Interest Receivable,0.00,2023-12-31,13240.11,2024-02-05
Accounts Receivable,0.00,2023-12-31,15362611.64,2024-02-05
Inventory,0.00,2023-12-31,6600000.00,2024-02-05
Total Current Assets,20000000.00,2023-12-31,22474420.77,2024-02-05
Fixed Assets,8000000.00,2023-12-31,10729032.26,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,120631.67,2024-02-05
Total Non-current Assets,8000000.00,2023-12-31,10608400.59,2024-02-05
Total Assets,28000000.00,2023-12-31,33082821.36,2024-02-05
Accounts Payable,0.00,2023-12-31,2000000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,1143833.89,2024-02-05
Total Current Liabilities,0.00,2023-12-31,3143833.89,2024-02-05
Paid-in Capital,28000000.00,2023-12-31,28000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,1938987.47,2024-02-05
Total Owner's Equity,28000000.00,2023-12-31,29938987.47,2024-02-05
Total Liabilities and Owner's Equity,28000000.00,2023-12-31,33082821.36,2024-02-05
