id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,15000000.0,15000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,Director,Staff,Paid,Bank Transfer,1000000.0,S002,Supplier 2,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,27665.22,27665.22,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Financial Expenses,2024-01-01,2024-01-01,85147.37,85147.37,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45747.0,45747.0,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,1157.0,1157.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,Director,Supervisor,Paid,Bank Transfer,1500000.0,S008,Supplier 8,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,Director,Supervisor,Paid,Cash,800000.0,S004,Supplier 4,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,78979.22,78979.22,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,93842.8,93842.8,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,1023.4999999999999,1023.4999999999999,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103002,Sale,2024-01-03,2024-01-03,1302111.59,1302111.59,,,Unpaid,,1000000.0,,,P003,Heavy Equipment C,1.0,1302111.59,Account Receviable,C014,65105.58,1237006.01,1000000.0,302111.5900000001,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Supervisor,Paid,Bank Transfer,500000.0,S007,Supplier 7,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Supervisor,Paid,Bank Transfer,500000.0,S008,Supplier 8,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,72054.07,72054.07,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,890.0,890.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S005,Supplier 5,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,96158.64,96158.64,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,756.5,756.5,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Unpaid,Account Payable,1000000.0,S001,Supplier 1,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,58160.2,58160.2,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,12403.65,12403.65,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,756.5,756.5,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240106001,Financial Expenses,2024-01-06,2024-01-06,80927.47,80927.47,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,55244.67,55244.67,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,756.5,756.5,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,1219968.64,1219968.64,,,Paid,Bank Transfer,,S010,Supplier 10,,,,,,,,,,,Heavy Machinery4,Heavy Machinery
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,90710.35,90710.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,647.92279104,647.92279104,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108007,Sale,2024-01-08,2024-01-08,1460946.33,1460946.33,,,Unpaid,,1000000.0,,,P003,Heavy Equipment C,1.0,1460946.33,Account Receviable,C005,73047.32,1387899.01,1000000.0,460946.3300000001,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,38143.6,38143.6,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,647.92279104,647.92279104,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240109009,Sale,2024-01-09,2024-01-09,1489365.79,1489365.79,,,Unpaid,,1000000.0,,,P003,Heavy Equipment C,1.0,1489365.79,Account Receviable,C013,74468.29,1414897.5,1000000.0,489365.79000000004,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Staff,Paid,Bank Transfer,1000000.0,S001,Supplier 1,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,15569.62,15569.62,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,82068.28,82068.28,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,558.92279104,558.92279104,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,11242.06,11242.06,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,558.92279104,558.92279104,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,1509063.62,1509063.62,,,Paid,Bank Transfer,,S008,Supplier 8,,,,,,,,,,,Industrial Facilities5,Industrial Facilities
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,93771.1,93771.1,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,84202.53,84202.53,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,424.61612886,424.61612886,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,86165.15,86165.15,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240112012,Interest Receivables,2024-01-12,2024-01-12,424.61612886,424.61612886,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240113001,Administrative Expenses,2024-01-13,2024-01-13,45256.88,45256.88,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240113001,Financial Expenses,2024-01-13,2024-01-13,86582.27,86582.27,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240113013,Interest Receivables,2024-01-13,2024-01-13,424.61612886,424.61612886,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Supervisor,Paid,Cash,1000000.0,S010,Supplier 10,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
