id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,340000.0,340000.0,Director,Staff,Paid,Bank Transfer,20000.0,S007,Supplier 7,P002,Chemical Product B,17.0,20000.0,,,,,,,,
Expense20240101001,Financial Expenses,2024-01-01,2024-01-01,31440.52,31440.52,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,45252.69,45252.69,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,32812.63,32812.63,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,13715.13,13715.13,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45748.2,45748.2,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,414.73999999999995,414.73999999999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,1900000.0,1900000.0,Director,Staff,Paid,Cash,100000.0,S003,Supplier 3,P004,Chemical Product D,19.0,100000.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,600000.0,600000.0,Director,Staff,Paid,Bank Transfer,50000.0,S002,Supplier 2,P003,Chemical Product C,12.0,50000.0,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,16003.13,16003.13,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,42098.22,42098.22,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,39624.25,39624.25,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,361.34,361.34,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103003,Sale,2024-01-03,2024-01-03,166756.74,166756.74,,,Paid,,50000.0,,,P003,Chemical Product C,3.0,55585.58,Cash,C003,8337.84,158418.9,150000.0,16756.73999999999,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,260000.0,260000.0,Director,Supervisor,Paid,Cash,10000.0,S007,Supplier 7,P001,Chemical Product A,26.0,10000.0,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,36027.21,36027.21,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,5452.56,5452.56,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,31048.58,31048.58,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,32634.51,32634.51,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,361.34,361.34,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104004,Sale,2024-01-04,2024-01-04,349296.6,349296.6,,,Unpaid,,50000.0,,,P003,Chemical Product C,5.0,69859.32,Account Receviable,C005,17464.83,331831.77,250000.0,99296.59999999998,,
Expense20240104001,Financial Expenses,2024-01-04,2024-01-04,10482.08,10482.08,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Financial Expenses,2024-01-04,2024-01-04,22137.13,22137.13,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,361.34,361.34,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105005,Sale,2024-01-05,2024-01-05,44250.22,44250.22,,,Unpaid,,20000.0,,,P002,Chemical Product B,2.0,22125.11,Account Receviable,C005,2212.51,42037.71,40000.0,4250.220000000001,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,460000.0,460000.0,Director,Staff,Unpaid,Account Payable,20000.0,S005,Supplier 5,P002,Chemical Product B,23.0,20000.0,,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,450000.0,450000.0,Director,Staff,Paid,Cash,50000.0,S007,Supplier 7,P003,Chemical Product C,9.0,50000.0,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,49084.38,49084.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,16864.59,16864.59,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,21708.36,21708.36,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,5664.97,5664.97,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,361.34,361.34,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106006,Sale,2024-01-06,2024-01-06,232967.6,232967.6,,,Paid,,50000.0,,,P003,Chemical Product C,4.0,58241.9,Cash,C001,11648.38,221319.22,200000.0,32967.600000000006,,
Sale20240106007,Sale,2024-01-06,2024-01-06,559227.55,559227.55,,,Paid,,100000.0,,,P004,Chemical Product D,5.0,111845.51,Cash,C010,27961.38,531266.17,500000.0,59227.55000000005,,
Expense20240106001,Financial Expenses,2024-01-06,2024-01-06,15736.21,15736.21,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,42500.32,42500.32,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Financial Expenses,2024-01-06,2024-01-06,14612.28,14612.28,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,40514.59,40514.59,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,361.34,361.34,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107009,Sale,2024-01-07,2024-01-07,227163.12,227163.12,,,Unpaid,,50000.0,,,P003,Chemical Product C,4.0,56790.78,Account Receviable,C007,11358.16,215804.96,200000.0,27163.119999999995,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,850000.0,850000.0,Director,Supervisor,Paid,Bank Transfer,50000.0,S004,Supplier 4,P003,Chemical Product C,17.0,50000.0,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,47483.49,47483.49,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240107001,Financial Expenses,2024-01-07,2024-01-07,33243.12,33243.12,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,285.69,285.69,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108010,Sale,2024-01-08,2024-01-08,291213.0,291213.0,,,Paid,,50000.0,,,P003,Chemical Product C,5.0,58242.6,Cash,C004,14560.65,276652.35,250000.0,41213.0,,
Sale20240108011,Sale,2024-01-08,2024-01-08,134712.58,134712.58,,,Unpaid,,50000.0,,,P003,Chemical Product C,2.0,67356.29,Account Receviable,C001,6735.63,127976.95,100000.0,34712.57999999999,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,18636.54,18636.54,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240108001,Financial Expenses,2024-01-08,2024-01-08,36168.97,36168.97,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
