Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-30
Net Profit ,-1401436.89,2024-01-30
Depreciation ,45753.36,2024-01-30
(Increase) Decrease in Accounts Receivable ,-1988616.02,2024-01-30
(Increase) Decrease in Interest Receivable ,-5758.38,2024-01-30
(Increase) Decrease in Inventory ,-3540000.00,2024-01-30
Increase (Decrease) in Accounts Payable ,2100000.00,2024-01-30
Increase (Decrease) in Tax Payable ,391297.55,2024-01-30
Net Cash Flow from Operating Activities ,-4398760.38,2024-01-30
Cash Flow from Investing Activities,,2024-01-30
Purchase of Fixed Assets ,324677.57,2024-01-30
Net Cash Flow from Investing Activities ,-324677.57,2024-01-30
Cash and Cash Equivalents,,2024-01-30
Beginning Balance ,8000000.00,2024-01-30
Ending Balance ,3276562.05,2024-01-30
Net Increase ,-4723437.95,2024-01-30
