Account,Amount,Date
Main Business Revenue,7099920.95,2024-01-29
Total Revenue,7099920.95,2024-01-29
Cost of Goods Sold,5540000.00,2024-01-29
Total Cost,5540000.00,2024-01-29
Gross Profit,1559920.95,2024-01-29
Administrative Expenses,1529708.19,2024-01-29
Selling Expenses,395393.99,2024-01-29
Depreciation,45765.70,2024-01-29
Financial Expenses,410850.65,2024-01-29
Total Expenses,2381718.53,2024-01-29
Interest Income,1731.44,2024-01-29
Profit Before Tax,-820066.14,2024-01-29
Tax Expense,354996.05,2024-01-29
Net Profit,-1175062.19,2024-01-29
