Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,735892.55,2024-01-31
Bank Deposits,5000000.00,2023-12-31,103027.27,2024-01-31
Interest Receivable,0.00,2023-12-31,2566.71,2024-01-31
Accounts Receivable,0.00,2023-12-31,2923459.19,2024-01-31
Inventory,0.00,2023-12-31,3900000.00,2024-01-31
Total Current Assets,8000000.00,2023-12-31,7664945.72,2024-01-31
Fixed Assets,5000000.00,2023-12-31,6446972.73,2024-01-31
Accumulated Depreciation,0.00,2023-12-31,45742.50,2024-01-31
Total Non-current Assets,5000000.00,2023-12-31,6401230.23,2024-01-31
Total Assets,13000000.00,2023-12-31,14066175.95,2024-01-31
Accounts Payable,0.00,2023-12-31,2390000.00,2024-01-31
Taxes Payable,0.00,2023-12-31,346025.72,2024-01-31
Total Current Liabilities,0.00,2023-12-31,2736025.72,2024-01-31
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-31
Retained Earnings,0.00,2023-12-31,-1669849.77,2024-01-31
Total Owner's Equity,13000000.00,2023-12-31,11330150.23,2024-01-31
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14066175.95,2024-01-31
