Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,270005.90,2024-01-30
Bank Deposits,5000000.00,2023-12-31,164645.57,2024-01-30
Interest Receivable,0.00,2023-12-31,2672.87,2024-01-30
Accounts Receivable,0.00,2023-12-31,2429482.13,2024-01-30
Inventory,0.00,2023-12-31,5090000.00,2024-01-30
Total Current Assets,8000000.00,2023-12-31,7956806.47,2024-01-30
Fixed Assets,5000000.00,2023-12-31,5305354.43,2024-01-30
Accumulated Depreciation,0.00,2023-12-31,45751.41,2024-01-30
Total Non-current Assets,5000000.00,2023-12-31,5259603.02,2024-01-30
Total Assets,13000000.00,2023-12-31,13216409.49,2024-01-30
Accounts Payable,0.00,2023-12-31,1590000.00,2024-01-30
Taxes Payable,0.00,2023-12-31,271550.92,2024-01-30
Total Current Liabilities,0.00,2023-12-31,1861550.92,2024-01-30
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-30
Retained Earnings,0.00,2023-12-31,-1645141.43,2024-01-30
Total Owner's Equity,13000000.00,2023-12-31,11354858.57,2024-01-30
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,13216409.49,2024-01-30
