Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-30
Net Profit ,-1645141.43,2024-01-30
Depreciation ,45751.41,2024-01-30
(Increase) Decrease in Accounts Receivable ,-2429482.13,2024-01-30
(Increase) Decrease in Interest Receivable ,-2672.87,2024-01-30
(Increase) Decrease in Inventory ,-5090000.00,2024-01-30
Increase (Decrease) in Accounts Payable ,1590000.00,2024-01-30
Increase (Decrease) in Tax Payable ,271550.92,2024-01-30
Net Cash Flow from Operating Activities ,-7259994.10,2024-01-30
Cash Flow from Investing Activities,,2024-01-30
Purchase of Fixed Assets ,305354.43,2024-01-30
Net Cash Flow from Investing Activities ,-305354.43,2024-01-30
Cash and Cash Equivalents,,2024-01-30
Beginning Balance ,8000000.00,2024-01-30
Ending Balance ,434651.47,2024-01-30
Net Increase ,-7565348.53,2024-01-30
