Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,4058544.03,2024-02-05
Bank Deposits,5000000.00,2023-12-31,3079000.00,2024-02-05
Interest Receivable,0.00,2023-12-31,13279.60,2024-02-05
Accounts Receivable,0.00,2023-12-31,2984071.72,2024-02-05
Inventory,0.00,2023-12-31,485000.00,2024-02-05
Total Current Assets,8000000.00,2023-12-31,10619895.35,2024-02-05
Fixed Assets,5000000.00,2023-12-31,5000000.00,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,91505.05,2024-02-05
Total Non-current Assets,5000000.00,2023-12-31,4908494.95,2024-02-05
Total Assets,13000000.00,2023-12-31,15528390.30,2024-02-05
Accounts Payable,0.00,2023-12-31,381000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,243988.48,2024-02-05
Total Current Liabilities,0.00,2023-12-31,624988.48,2024-02-05
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,1903401.82,2024-02-05
Total Owner's Equity,13000000.00,2023-12-31,14903401.82,2024-02-05
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,15528390.30,2024-02-05
