id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Director,Senior Supervisor,Paid,Bank Transfer,20000.0,S009,Supplier 9,S003,Premium Consulting,1.0,20000.0,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,14726.63,14726.63,Director,Junior Staff,Paid,Cash,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45754.63999999999,45754.63999999999,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,443.21999999999997,443.21999999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240102001,Sale,2024-01-02,2024-01-02,53170.71,53170.71,,,Unpaid,,20000.0,,,S003,Premium Consulting,1.0,53170.71,Account Receviable,C006,2658.54,50512.17,20000.0,33170.71
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,12921.28,12921.28,Director,Junior Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,4678.66,4678.66,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,443.21999999999997,443.21999999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Director,Senior Supervisor,Paid,Cash,20000.0,S010,Supplier 10,S003,Premium Consulting,2.0,20000.0,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Director,Senior Supervisor,Paid,Bank Transfer,20000.0,S003,Supplier 3,S003,Premium Consulting,1.0,20000.0,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,8194.45,8194.45,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240104004,Sale,2024-01-04,2024-01-04,47593.55,47593.55,,,Paid,,20000.0,,,S003,Premium Consulting,1.0,47593.55,Cash,C007,2379.68,45213.87,20000.0,27593.550000000003
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1000.0,1000.0,Director,Senior Supervisor,Paid,Cash,1000.0,S010,Supplier 10,S001,Basic Consulting,1.0,1000.0,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Director,Director,Paid,Bank Transfer,20000.0,S006,Supplier 6,S003,Premium Consulting,1.0,20000.0,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,14629.67,14629.67,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,11841.84,11841.84,Director,Junior Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,439.65999999999997,439.65999999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240105005,Sale,2024-01-05,2024-01-05,2943.51,2943.51,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,2943.51,Account Receviable,C009,147.18,2796.33,1000.0,1943.5100000000002
Sale20240105006,Sale,2024-01-05,2024-01-05,47555.26,47555.26,,,Paid,,20000.0,,,S003,Premium Consulting,1.0,47555.26,Cash,C012,2377.76,45177.5,20000.0,27555.260000000002
Purchase20231231006,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Director,Manager,Paid,Bank Transfer,20000.0,S010,Supplier 10,S003,Premium Consulting,3.0,20000.0,,,,,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Director,Executive Director,Paid,Bank Transfer,100000.0,S003,Supplier 3,S004,Enterprise Solution,2.0,100000.0,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,18876.84,18876.84,Director,Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,11420.55,11420.55,Director,Junior Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,416.52,416.52,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240106009,Sale,2024-01-06,2024-01-06,262445.58,262445.58,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,262445.58,Account Receviable,C017,13122.28,249323.3,100000.0,162445.58000000002
Expense20240106001,Financial Expenses,2024-01-06,2024-01-06,8372.35,8372.35,Director,Director,Paid,Cash,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,16768.71,16768.71,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,416.52,416.52,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240107010,Sale,2024-01-07,2024-01-07,43597.09,43597.09,,,Paid,,20000.0,,,S003,Premium Consulting,1.0,43597.09,Cash,C015,2179.85,41417.24,20000.0,23597.089999999997
Sale20240107011,Sale,2024-01-07,2024-01-07,192028.0,192028.0,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,192028.0,Account Receviable,C020,9601.4,182426.6,100000.0,92028.0
Sale20240107012,Sale,2024-01-07,2024-01-07,52961.46,52961.46,,,Unpaid,,20000.0,,,S003,Premium Consulting,1.0,52961.46,Account Receviable,C008,2648.07,50313.39,20000.0,32961.46
Purchase20231231008,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Director,Director,Paid,Bank Transfer,100000.0,S003,Supplier 3,S004,Enterprise Solution,3.0,100000.0,,,,,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,1000.0,1000.0,Director,Manager,Paid,Bank Transfer,1000.0,S005,Supplier 5,S001,Basic Consulting,1.0,1000.0,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,8874.38,8874.38,Director,Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,2053.82,2053.82,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,389.731,389.731,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240108015,Sale,2024-01-08,2024-01-08,280252.81,280252.81,,,Paid,,100000.0,,,S004,Enterprise Solution,1.0,280252.81,Cash,C010,14012.64,266240.17,100000.0,180252.81
Sale20240108016,Sale,2024-01-08,2024-01-08,2925.01,2925.01,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,2925.01,Account Receviable,C010,146.25,2778.76,1000.0,1925.0100000000002
Sale20240108017,Sale,2024-01-08,2024-01-08,53074.78,53074.78,,,Paid,,20000.0,,,S003,Premium Consulting,1.0,53074.78,Cash,C016,2653.74,50421.04,20000.0,33074.78
Purchase20231231010,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Director,Senior Supervisor,Paid,Bank Transfer,5000.0,S004,Supplier 4,S002,Standard Consulting,2.0,5000.0,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,4130.98,4130.98,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,17469.41,17469.41,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,388.84099999999995,388.84099999999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240109019,Sale,2024-01-09,2024-01-09,293772.48,293772.48,,,Paid,,100000.0,,,S004,Enterprise Solution,1.0,293772.48,Cash,C003,14688.62,279083.86,100000.0,193772.47999999998
