Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,905750.76,2024-02-05
Depreciation ,91509.25,2024-02-05
(Increase) Decrease in Accounts Receivable ,-2149792.45,2024-02-05
(Increase) Decrease in Interest Receivable ,-14575.80,2024-02-05
(Increase) Decrease in Inventory ,-112000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,485000.00,2024-02-05
Increase (Decrease) in Tax Payable ,143478.02,2024-02-05
Net Cash Flow from Operating Activities ,-650630.22,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,0.00,2024-02-05
Net Cash Flow from Investing Activities ,-0.00,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,8000000.00,2024-02-05
Ending Balance ,7349369.78,2024-02-05
Net Increase ,-650630.22,2024-02-05
