Account,Amount,Date
Main Business Revenue,2869560.42,2024-02-05
Total Revenue,2869560.42,2024-02-05
Cost of Goods Sold,1249000.00,2024-02-05
Total Cost,1249000.00,2024-02-05
Gross Profit,1620560.42,2024-02-05
Administrative Expenses,134173.09,2024-02-05
Selling Expenses,309942.03,2024-02-05
Depreciation,91509.25,2024-02-05
Financial Expenses,50283.07,2024-02-05
Total Expenses,585907.44,2024-02-05
Interest Income,14575.80,2024-02-05
Profit Before Tax,1049228.78,2024-02-05
Tax Expense,143478.02,2024-02-05
Net Profit,905750.76,2024-02-05
