id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Sale,2024-01-19,5000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S009,Supplier 9,S002,Standard Consulting,1.0,5098.12,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $5000.00, totaling $10000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.","[{'Original amount': 10000.0, 'Recorded amount': 12471.28, 'id': 'Purchase20231231001'}, {'Original category': 'Purchase', 'Recorded category': 'Sale', 'id': 'Purchase20231231001'}, {'Original quantity': 2.0, 'Recorded quantity': 1, 'id': 'Purchase20231231001'}, {'Original date': '2023-12-31', 'Recorded date': '2024-01-19', 'id': 'Purchase20231231001'}, {'Original price': 5000.0, 'Recorded price': 5098.12, 'id': 'Purchase20231231001'}]"
Expense20240101001,Sales Expenses,2024-01-01,16773.53,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $16773.53. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240101001,Sales Expenses,2024-01-01,9694.49,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $9694.49. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45753.24,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45753.24.",
Interest20240101001,Interest Receivables,2024-01-01,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102003,Sale,2024-01-02,13728.16,,,Paid,5000.0,,,,S002,Standard Consulting,1.0,13728.16,Cash,C016,686.41,13041.75,5000.0,8728.16,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $13728.16, totaling $13728.16. The cost amount for this transaction was $5000.00, with a tax amount of $686.41, leading to a total amount due of $13041.75. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240102001,Sales Expenses,2024-01-02,7944.81,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $7944.81. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
