id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,cost_per_unit,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S009,Supplier 9,S002,Standard Consulting,2.0,5000.0,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,16773.53,16773.53,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,9694.49,9694.49,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45753.240000000005,45753.240000000005,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102003,Sale,2024-01-02,2024-01-02,13728.16,13728.16,,,Paid,5000.0,,,,S002,Standard Consulting,1.0,13728.16,Cash,C016,686.41,13041.75,5000.0,8728.16,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,7944.81,7944.81,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103005,Sale,2024-01-03,2024-01-03,11367.21,11367.21,,,Unpaid,5000.0,,,,S002,Standard Consulting,1.0,11367.21,Account Receviable,C012,568.36,10798.85,5000.0,6367.209999999999,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S002,Supplier 2,S002,Standard Consulting,2.0,5000.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,1000.0,1000.0,Director,Supervisor,Unpaid,1000.0,Account Payable,S003,Supplier 3,S001,Basic Consulting,1.0,1000.0,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,4994.57,4994.57,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104007,Sale,2024-01-04,2024-01-04,12470.63,12470.63,,,Unpaid,5000.0,,,,S002,Standard Consulting,1.0,12470.63,Account Receviable,C005,623.53,11847.1,5000.0,7470.629999999999,,
Sale20240104008,Sale,2024-01-04,2024-01-04,10372.82,10372.82,,,Unpaid,5000.0,,,,S002,Standard Consulting,1.0,10372.82,Account Receviable,C009,518.64,9854.18,5000.0,5372.82,,
Sale20240104009,Sale,2024-01-04,2024-01-04,2183.69,2183.69,,,Unpaid,1000.0,,,,S001,Basic Consulting,1.0,2183.69,Account Receviable,C010,109.18,2074.51,1000.0,1183.69,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,18224.76,18224.76,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,15328.4,15328.4,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Director,Supervisor,Unpaid,20000.0,Account Payable,S001,Supplier 1,S003,Premium Consulting,2.0,20000.0,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,19951.38,19951.38,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,2796.49,2796.49,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,5000.0,5000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S010,Supplier 10,S002,Standard Consulting,1.0,5000.0,,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Director,Supervisor,Paid,20000.0,Bank Transfer,S007,Supplier 7,S003,Premium Consulting,2.0,20000.0,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,4915.74,4915.74,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,17127.54,17127.54,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108013,Sale,2024-01-08,2024-01-08,54355.58,54355.58,,,Unpaid,20000.0,,,,S003,Premium Consulting,1.0,54355.58,Account Receviable,C018,2717.78,51637.8,20000.0,34355.58,,
Expense20240108001,Financial Expenses,2024-01-08,2024-01-08,11772.01,11772.01,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,7400.15,7400.15,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,15000.0,15000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S003,Supplier 3,S002,Standard Consulting,3.0,5000.0,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,16126.01,16126.01,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,12801.48,12801.48,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,18083.28,18083.28,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,8819.39,8819.39,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240111017,Sale,2024-01-11,2024-01-11,58578.75,58578.75,,,Unpaid,20000.0,,,,S003,Premium Consulting,1.0,58578.75,Account Receviable,C017,2928.94,55649.81,20000.0,38578.75,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Director,Supervisor,Paid,100000.0,Cash,S002,Supplier 2,S004,Enterprise Solution,2.0,100000.0,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,12007.64,12007.64,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240112018,Sale,2024-01-12,2024-01-12,293182.36,293182.36,,,Unpaid,100000.0,,,,S004,Enterprise Solution,1.0,293182.36,Account Receviable,C002,14659.12,278523.24,100000.0,193182.36,,
Sale20240112019,Sale,2024-01-12,2024-01-12,58814.47,58814.47,,,Unpaid,20000.0,,,,S003,Premium Consulting,1.0,58814.47,Account Receviable,C006,2940.72,55873.75,20000.0,38814.47,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Director,Supervisor,Paid,20000.0,Cash,S006,Supplier 6,S003,Premium Consulting,1.0,20000.0,,,,,,,,
