id,type,date,recorded_date,amount,recorded_amount,payment/receipt_status,payment_method,approver,preparer,receive_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,19870.28,19870.28,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,2114.13,2114.13,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45751.670000000006,45751.670000000006,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,445.0,445.0,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,2000.0,2000.0,Unpaid,Account Payable,Director,Staff,,1000.0,S009,Supplier 9,S001,Basic Consulting,2.0,1000.0,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,9101.97,9101.97,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,18224.98,18224.98,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,445.0,445.0,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240103004,Sale,2024-01-03,2024-01-03,2702.73,2702.73,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2702.73,C019,135.14,2567.59,1000.0,1702.73
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,18579.64,18579.64,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,7334.11,7334.11,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,445.0,445.0,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240104005,Sale,2024-01-04,2024-01-04,2767.58,2767.58,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2767.58,C001,138.38,2629.2,1000.0,1767.58
Purchase20231231002,Purchase,2023-12-31,2023-12-31,1000.0,1000.0,Paid,Bank Transfer,Director,Supervisor,,1000.0,S008,Supplier 8,S001,Basic Consulting,1.0,1000.0,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,17872.03,17872.03,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,444.911,444.911,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240105007,Sale,2024-01-05,2024-01-05,2029.81,2029.81,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2029.81,C004,101.49,1928.32,1000.0,1029.81
Purchase20231231003,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Paid,Cash,Director,Supervisor,,100000.0,S001,Supplier 1,S004,Enterprise Solution,2.0,100000.0,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,2928.4,2928.4,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,14588.99,14588.99,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,444.911,444.911,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240106009,Sale,2024-01-06,2024-01-06,187782.17,187782.17,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,187782.17,C015,9389.11,178393.06,100000.0,87782.17000000001
Sale20240106010,Sale,2024-01-06,2024-01-06,246016.59,246016.59,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,246016.59,C008,12300.83,233715.76,100000.0,146016.59
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,8281.46,8281.46,Paid,Cash,Director,Senior Staff,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,444.911,444.911,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1000.0,1000.0,Paid,Bank Transfer,Director,Supervisor,,1000.0,S004,Supplier 4,S001,Basic Consulting,1.0,1000.0,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,5212.63,5212.63,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,4613.02,4613.02,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,444.822,444.822,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240108014,Sale,2024-01-08,2024-01-08,2945.74,2945.74,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2945.74,C011,147.29,2798.45,1000.0,1945.7399999999998
Purchase20231231005,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Paid,Bank Transfer,Director,Staff,,20000.0,S002,Supplier 2,S003,Premium Consulting,1.0,20000.0,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Paid,Bank Transfer,Director,Supervisor,,5000.0,S009,Supplier 9,S002,Standard Consulting,2.0,5000.0,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,11443.14,11443.14,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,442.152,442.152,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240109016,Sale,2024-01-09,2024-01-09,12978.64,12978.64,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,12978.64,C005,648.93,12329.71,5000.0,7978.639999999999
Sale20240109017,Sale,2024-01-09,2024-01-09,45008.76,45008.76,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,45008.76,C009,2250.44,42758.32,20000.0,25008.760000000002
Sale20240109018,Sale,2024-01-09,2024-01-09,14240.87,14240.87,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,14240.87,C015,712.04,13528.83,5000.0,9240.87
Purchase20231231007,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Unpaid,Account Payable,Director,Senior Staff,,20000.0,S004,Supplier 4,S003,Premium Consulting,3.0,20000.0,,,,,
Expense20240109001,Financial Expenses,2024-01-09,2024-01-09,12133.89,12133.89,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,442.152,442.152,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240110019,Sale,2024-01-10,2024-01-10,57557.94,57557.94,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,57557.94,C014,2877.9,54680.04,20000.0,37557.94
Sale20240110020,Sale,2024-01-10,2024-01-10,55647.55,55647.55,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,55647.55,C015,2782.38,52865.17,20000.0,35647.55
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,17779.73,17779.73,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,442.152,442.152,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240111022,Sale,2024-01-11,2024-01-11,52476.83,52476.83,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,52476.83,C003,2623.84,49852.99,20000.0,32476.83
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,3937.02,3937.02,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,442.152,442.152,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Paid,Cash,Director,Staff,,20000.0,S007,Supplier 7,S003,Premium Consulting,3.0,20000.0,,,,,
