id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,300000.0,Director,Staff,Paid,Bank Transfer,100000.0,S009,Supplier 9,S004,Enterprise Solution,3.0,100000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $100000.00, totaling $300000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240101001,Administrative Expenses,2024-01-01,7069.68,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $7069.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240101001,Administrative Expenses,2024-01-01,13381.35,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $13381.35. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45747.38,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45747.38.",
Interest20240101001,Interest Receivables,2024-01-01,418.3,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $418.30. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102001,Sale,2024-01-02,284230.98,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,284230.98,Account Receviable,C020,14211.55,270019.43,100000.0,184230.98,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $284230.98, totaling $284230.98. The cost amount for this transaction was $100000.00, with a tax amount of $14211.55, leading to a total amount due of $270019.43. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240102002,Sale,2024-01-02,274894.93,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,274894.93,Account Receviable,C001,13744.75,261150.18,100000.0,174894.93,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $274894.93, totaling $274894.93. The cost amount for this transaction was $100000.00, with a tax amount of $13744.75, leading to a total amount due of $261150.18. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
