id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,790000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S003,Supplier 3,R003,Luxury Suite,158.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 158.0 units at a unit price of $5000.00, totaling $790000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Purchase20231231002,Purchase,2023-12-31,1495000.0,Director,Senior Staff,Unpaid,Account Payable,5000.0,S007,Supplier 7,R003,Luxury Suite,299.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 299.0 units at a unit price of $5000.00, totaling $1495000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Expense20240101001,Administrative Expenses,2024-01-01,615.36,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $615.36. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45741.99,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45741.99.",
Interest20240101001,Interest Receivables,2024-01-01,374.69,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $374.69. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102001,Sale,2024-01-02,42371.15,,,Paid,,5000.0,,,R003,Luxury Suite,5.0,8474.23,Cash,C014,2118.56,40252.59,25000.0,17371.15,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $8474.23, totaling $42371.15. The cost amount for this transaction was $25000.00, with a tax amount of $2118.56, leading to a total amount due of $40252.59. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240102002,Sale,2024-01-02,36936.7,,,Unpaid,,5000.0,,,R003,Luxury Suite,5.0,7387.34,Account Receviable,C017,1846.84,35089.86,25000.0,11936.7,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $7387.34, totaling $36936.70. The cost amount for this transaction was $25000.00, with a tax amount of $1846.84, leading to a total amount due of $35089.86. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
