id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,790000.0,790000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S003,Supplier 3,R003,Luxury Suite,158.0,5000.0,,,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,1495000.0,1495000.0,Director,Senior Staff,Unpaid,Account Payable,5000.0,S007,Supplier 7,R003,Luxury Suite,299.0,5000.0,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,615.36,615.36,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45741.98999999999,45741.98999999999,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,374.69,374.69,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102001,Sale,2024-01-02,2024-01-02,42371.15,42371.15,,,Paid,,5000.0,,,R003,Luxury Suite,5.0,8474.23,Cash,C014,2118.56,40252.59,25000.0,17371.15,,
Sale20240102002,Sale,2024-01-02,2024-01-02,36936.7,36936.7,,,Unpaid,,5000.0,,,R003,Luxury Suite,5.0,7387.34,Account Receviable,C017,1846.84,35089.86,25000.0,11936.699999999997,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,374400.0,374400.0,Director,Senior Staff,Paid,Bank Transfer,2880.0,S009,Supplier 9,F004,Banquet Set,130.0,2880.0,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1340000.0,1340000.0,Director,Senior Staff,Paid,Cash,5000.0,S008,Supplier 8,R003,Luxury Suite,268.0,5000.0,,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,146080.0,146080.0,Director,Senior Staff,Paid,Bank Transfer,880.0,S001,Supplier 1,F003,Deluxe Meal Set,166.0,880.0,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,818.23,818.23,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,328.36728,328.36728,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103004,Sale,2024-01-03,2024-01-03,5047.73,5047.73,,,Paid,,2880.0,,,F004,Banquet Set,1.0,5047.73,Cash,C008,252.39,4795.34,2880.0,2167.7299999999996,,
Sale20240103005,Sale,2024-01-03,2024-01-03,4128.39,4128.39,,,Paid,,880.0,,,F003,Deluxe Meal Set,3.0,1376.13,Cash,C020,206.42,3921.97,2640.0,1488.3900000000003,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,444000.0,444000.0,Director,Supervisor,Paid,Cash,2000.0,S008,Supplier 8,R002,Business Room,222.0,2000.0,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,476.79,476.79,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,328.36728,328.36728,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104007,Sale,2024-01-04,2024-01-04,6981.15,6981.15,,,Unpaid,,880.0,,,F003,Deluxe Meal Set,5.0,1396.23,Account Receviable,C011,349.06,6632.09,4400.0,2581.1499999999996,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,154500.0,154500.0,Director,Senior Staff,Paid,Bank Transfer,1500.0,S001,Supplier 1,R001,Standard Room,103.0,1500.0,,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,21150.0,21150.0,Director,Senior Staff,Unpaid,Account Payable,150.0,S002,Supplier 2,F001,Quick Meal Set,141.0,150.0,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,744.35,744.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,314.61678,314.61678,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105009,Sale,2024-01-05,2024-01-05,813.28,813.28,,,Paid,,150.0,,,F001,Quick Meal Set,4.0,203.32,Cash,C007,40.66,772.62,600.0,213.27999999999997,,
Sale20240105010,Sale,2024-01-05,2024-01-05,13672.71,13672.71,,,Paid,,2880.0,,,F004,Banquet Set,3.0,4557.57,Cash,C017,683.64,12989.07,8640.0,5032.709999999999,,
Sale20240105011,Sale,2024-01-05,2024-01-05,21936.45,21936.45,,,Unpaid,,2880.0,,,F004,Banquet Set,5.0,4387.29,Account Receviable,C002,1096.82,20839.63,14400.0,7536.450000000001,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,34350.0,34350.0,Director,Senior Staff,Paid,Cash,150.0,S003,Supplier 3,F001,Quick Meal Set,229.0,150.0,,,,,,,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,256080.0,256080.0,Director,Supervisor,Unpaid,Account Payable,880.0,S007,Supplier 7,F003,Deluxe Meal Set,291.0,880.0,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,477.24,477.24,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,301.69,301.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,314.61678,314.61678,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106012,Sale,2024-01-06,2024-01-06,10076.58,10076.58,,,Paid,,2000.0,,,R002,Business Room,3.0,3358.86,Cash,C003,503.83,9572.75,6000.0,4076.58,,
Sale20240106013,Sale,2024-01-06,2024-01-06,8138.91,8138.91,,,Unpaid,,2000.0,,,R002,Business Room,3.0,2712.97,Account Receviable,C016,406.95,7731.96,6000.0,2138.91,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,21000.0,21000.0,Director,Supervisor,Paid,Bank Transfer,150.0,S005,Supplier 5,F001,Quick Meal Set,140.0,150.0,,,,,,,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,95920.0,95920.0,Director,Senior Staff,Paid,Bank Transfer,880.0,S008,Supplier 8,F003,Deluxe Meal Set,109.0,880.0,,,,,,,,
Purchase20231231013,Purchase,2023-12-31,2023-12-31,409500.0,409500.0,Director,Supervisor,Paid,Cash,1500.0,S004,Supplier 4,R001,Standard Room,273.0,1500.0,,,,,,,,
Expense20240106001,Financial Expenses,2024-01-06,2024-01-06,341.86,341.86,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,733.63,733.63,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,304.2109,304.2109,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107015,Sale,2024-01-07,2024-01-07,3387.93,3387.93,,,Unpaid,,2000.0,,,R002,Business Room,1.0,3387.93,Account Receviable,C005,169.4,3218.53,2000.0,1387.9299999999998,,
Sale20240107016,Sale,2024-01-07,2024-01-07,24104.8,24104.8,,,Paid,,2880.0,,,F004,Banquet Set,5.0,4820.96,Cash,C008,1205.24,22899.56,14400.0,9704.8,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,895.72,895.72,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240107001,Financial Expenses,2024-01-07,2024-01-07,160.75,160.75,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,304.2109,304.2109,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108017,Sale,2024-01-08,2024-01-08,467.92,467.92,,,Paid,,150.0,,,F001,Quick Meal Set,2.0,233.96,Cash,C006,23.4,444.52,300.0,167.92000000000002,,
