id,recorded_type,recorded_date,recorded_amount,recorded_cost_per_unit,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,680000.0,5000.0,Director,Staff,Paid,Cash,S010,Supplier 10,R003,Luxury Suite,136.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 136.0 units at a unit price of $5000.00, totaling $680000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Purchase20231231002,Purchase,2023-12-31,80500.0,350.0,Director,Senior Staff,Unpaid,Account Payable,S005,Supplier 5,F002,Business Meal Set,230.0,350.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 230.0 units at a unit price of $350.00, totaling $80500.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S005, and the supplier name is Supplier 5.",
Expense20240101001,Sales Expenses,2024-01-01,427.36,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $427.36. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45740.94,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45740.94.",
Interest20240101001,Interest Receivables,2024-01-01,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102002,Sale,2024-01-02,1533.3,350.0,,,Unpaid,,,,F002,Business Meal Set,3.0,511.1,Account Receviable,C013,76.67,1456.63,1050.0,483.3,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $511.10, totaling $1533.30. The cost amount for this transaction was $1050.00, with a tax amount of $76.67, leading to a total amount due of $1456.63. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240102003,Sale,2024-01-02,516.72,350.0,,,Paid,,,,F002,Business Meal Set,1.0,516.72,Cash,C020,25.84,490.88,350.0,166.72,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $516.72, totaling $516.72. The cost amount for this transaction was $350.00, with a tax amount of $25.84, leading to a total amount due of $490.88. The receive_method of this transaction was cash, and this transaction was paid.",
