id,type,date,recorded_date,amount,recorded_amount,cost_per_unit,approver,preparer,payment/receipt_status,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,35400.0,35400.0,150.0,Director,Staff,Paid,Cash,S002,Supplier 2,F001,Quick Meal Set,236.0,150.0,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,208.92,208.92,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,226.27,226.27,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45745.8,45745.8,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,445.0,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240102002,Sale,2024-01-02,2024-01-02,839.44,839.44,150.0,,,Paid,,,,F001,Quick Meal Set,4.0,209.86,Cash,C010,41.97,797.47,600.0,239.44000000000005,,
Sale20240102003,Sale,2024-01-02,2024-01-02,459.92,459.92,150.0,,,Paid,,,,F001,Quick Meal Set,2.0,229.96,Cash,C012,23.0,436.92,300.0,159.92000000000002,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,696960.0,696960.0,2880.0,Director,Staff,Unpaid,Account Payable,S005,Supplier 5,F004,Banquet Set,242.0,2880.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,394560.0,394560.0,2880.0,Director,Staff,Unpaid,Account Payable,S007,Supplier 7,F004,Banquet Set,137.0,2880.0,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,286000.0,286000.0,2000.0,Director,Staff,Unpaid,Account Payable,S010,Supplier 10,R002,Business Room,143.0,2000.0,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,954.16,954.16,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,826.27,826.27,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,445.0,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240103004,Sale,2024-01-03,2024-01-03,242.39,242.39,150.0,,,Paid,,,,F001,Quick Meal Set,1.0,242.39,Cash,C003,12.12,230.27,150.0,92.38999999999999,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,421500.0,421500.0,1500.0,Director,Supervisor,Paid,Cash,S008,Supplier 8,R001,Standard Room,281.0,1500.0,,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,64400.0,64400.0,350.0,Director,Supervisor,Paid,Cash,S005,Supplier 5,F002,Business Meal Set,184.0,350.0,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,932.87,932.87,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,445.0,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240104005,Sale,2024-01-04,2024-01-04,13198.32,13198.32,2000.0,,,Paid,,,,R002,Business Room,4.0,3299.58,Cash,C003,659.92,12538.4,8000.0,5198.32,,
Sale20240104006,Sale,2024-01-04,2024-01-04,2658.43,2658.43,2000.0,,,Unpaid,,,,R002,Business Room,1.0,2658.43,Account Receviable,C004,132.92,2525.51,2000.0,658.4299999999998,,
Sale20240104007,Sale,2024-01-04,2024-01-04,22421.8,22421.8,2880.0,,,Unpaid,,,,F004,Banquet Set,5.0,4484.36,Account Receviable,C015,1121.09,21300.71,14400.0,8021.799999999999,,
Sale20240104008,Sale,2024-01-04,2024-01-04,1071.1,1071.1,150.0,,,Paid,,,,F001,Quick Meal Set,5.0,214.22,Cash,C003,53.55,1017.55,750.0,321.0999999999999,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,470000.0,470000.0,2000.0,Director,Supervisor,Paid,Cash,S002,Supplier 2,R002,Business Room,235.0,2000.0,,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,544000.0,544000.0,2000.0,Director,Staff,Unpaid,Account Payable,S008,Supplier 8,R002,Business Room,272.0,2000.0,,,,,,,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,43400.0,43400.0,350.0,Director,Staff,Unpaid,Account Payable,S007,Supplier 7,F002,Business Meal Set,124.0,350.0,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,335.46,335.46,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,445.0,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240105010,Sale,2024-01-05,2024-01-05,5563.62,5563.62,2000.0,,,Paid,,,,R002,Business Room,2.0,2781.81,Cash,C020,278.18,5285.44,4000.0,1563.62,,
Sale20240105011,Sale,2024-01-05,2024-01-05,4571.54,4571.54,1500.0,,,Unpaid,,,,R001,Standard Room,2.0,2285.77,Account Receviable,C009,228.58,4342.96,3000.0,1571.54,,
Sale20240105012,Sale,2024-01-05,2024-01-05,211.43,211.43,150.0,,,Paid,,,,F001,Quick Meal Set,1.0,211.43,Cash,C020,10.57,200.86,150.0,61.43000000000001,,
Sale20240105013,Sale,2024-01-05,2024-01-05,203.29,203.29,150.0,,,Unpaid,,,,F001,Quick Meal Set,1.0,203.29,Account Receviable,C014,10.16,193.13,150.0,53.28999999999999,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,21900.0,21900.0,150.0,Director,Supervisor,Unpaid,Account Payable,S005,Supplier 5,F001,Quick Meal Set,146.0,150.0,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,996.42,996.42,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,957.5,957.5,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,445.0,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240106016,Sale,2024-01-06,2024-01-06,4918.0,4918.0,2880.0,,,Paid,,,,F004,Banquet Set,1.0,4918.0,Cash,C019,245.9,4672.1,2880.0,2038.0,,
Sale20240106017,Sale,2024-01-06,2024-01-06,1717.11,1717.11,350.0,,,Unpaid,,,,F002,Business Meal Set,3.0,572.37,Account Receviable,C006,85.86,1631.25,1050.0,667.1099999999999,,
Sale20240106018,Sale,2024-01-06,2024-01-06,2301.85,2301.85,350.0,,,Unpaid,,,,F002,Business Meal Set,5.0,460.37,Account Receviable,C016,115.09,2186.76,1750.0,551.8499999999999,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,556.79,556.79,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,445.0,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240107019,Sale,2024-01-07,2024-01-07,1960.04,1960.04,350.0,,,Unpaid,,,,F002,Business Meal Set,4.0,490.01,Account Receviable,C013,98.0,1862.04,1400.0,560.04,,
Sale20240107020,Sale,2024-01-07,2024-01-07,2069.18,2069.18,1500.0,,,Paid,,,,R001,Standard Room,1.0,2069.18,Cash,C013,103.46,1965.72,1500.0,569.1799999999998,,
Sale20240107021,Sale,2024-01-07,2024-01-07,6198.52,6198.52,2000.0,,,Paid,,,,R002,Business Room,2.0,3099.26,Cash,C008,309.93,5888.59,4000.0,2198.5200000000004,,
Sale20240107022,Sale,2024-01-07,2024-01-07,8020.0,8020.0,2880.0,,,Paid,,,,F004,Banquet Set,2.0,4010.0,Cash,C009,401.0,7619.0,5760.0,2260.0,,
