id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,809280.0,Director,Supervisor,Unpaid,2880.0,Account Payable,S002,Supplier 2,F004,Banquet Set,281.0,2880.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 281.0 units at a unit price of $2880.00, totaling $809280.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240101001,Financial Expenses,2024-01-01,838.08,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Financial Expenses, totaling $838.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45751.5,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45751.50.",
Interest20240101001,Interest Receivables,2024-01-01,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102001,Sale,2024-01-02,16942.6,,,Unpaid,2880.0,,,,F004,Banquet Set,4.0,4235.65,Account Receviable,C007,847.13,16095.47,11520.0,5422.6,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $4235.65, totaling $16942.60. The cost amount for this transaction was $11520.00, with a tax amount of $847.13, leading to a total amount due of $16095.47. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240102002,Sale,2024-01-02,23745.05,,,Unpaid,2880.0,,,,F004,Banquet Set,5.0,4749.01,Account Receviable,C004,1187.25,22557.8,14400.0,9345.05,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $4749.01, totaling $23745.05. The cost amount for this transaction was $14400.00, with a tax amount of $1187.25, leading to a total amount due of $22557.80. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231002,Purchase,2023-12-31,19650.0,Director,Senior Staff,Unpaid,150.0,Account Payable,S010,Supplier 10,F001,Quick Meal Set,131.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 131.0 units at a unit price of $150.00, totaling $19650.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
