id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,cost_per_unit,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,809280.0,809280.0,Director,Supervisor,Unpaid,2880.0,Account Payable,S002,Supplier 2,F004,Banquet Set,281.0,2880.0,,,,,,,,
Expense20240101001,Financial Expenses,2024-01-01,2024-01-01,838.08,838.08,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45751.5,45751.5,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102001,Sale,2024-01-02,2024-01-02,16942.6,16942.6,,,Unpaid,2880.0,,,,F004,Banquet Set,4.0,4235.65,Account Receviable,C007,847.13,16095.47,11520.0,5422.5999999999985,,
Sale20240102002,Sale,2024-01-02,2024-01-02,23745.05,23745.05,,,Unpaid,2880.0,,,,F004,Banquet Set,5.0,4749.01,Account Receviable,C004,1187.25,22557.8,14400.0,9345.05,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,19650.0,19650.0,Director,Senior Staff,Unpaid,150.0,Account Payable,S010,Supplier 10,F001,Quick Meal Set,131.0,150.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,19050.0,19050.0,Director,Supervisor,Paid,150.0,Cash,S006,Supplier 6,F001,Quick Meal Set,127.0,150.0,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,148.6,148.6,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103003,Sale,2024-01-03,2024-01-03,1246.5,1246.5,,,Unpaid,150.0,,,,F001,Quick Meal Set,5.0,249.3,Account Receviable,C017,62.33,1184.17,750.0,496.5,,
Sale20240103004,Sale,2024-01-03,2024-01-03,16869.4,16869.4,,,Paid,2880.0,,,,F004,Banquet Set,4.0,4217.35,Cash,C018,843.47,16025.93,11520.0,5349.4000000000015,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,455144.64,455144.64,,,Paid,,Bank Transfer,S002,Supplier 2,,,,,,,,,,,Elevator System4,Elevator System
Purchase20231231004,Purchase,2023-12-31,2023-12-31,639360.0,639360.0,Director,Supervisor,Paid,2880.0,Cash,S009,Supplier 9,F004,Banquet Set,222.0,2880.0,,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,44850.0,44850.0,Director,Supervisor,Unpaid,150.0,Account Payable,S004,Supplier 4,F001,Quick Meal Set,299.0,150.0,,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,605000.0,605000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S002,Supplier 2,R003,Luxury Suite,121.0,5000.0,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,745.04,745.04,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,404.49212704,404.49212704,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104006,Sale,2024-01-04,2024-01-04,26735.56,26735.56,,,Paid,5000.0,,,,R003,Luxury Suite,4.0,6683.89,Cash,C015,1336.78,25398.78,20000.0,6735.560000000001,,
Sale20240104007,Sale,2024-01-04,2024-01-04,20210.64,20210.64,,,Unpaid,2880.0,,,,F004,Banquet Set,4.0,5052.66,Account Receviable,C011,1010.53,19200.11,11520.0,8690.64,,
Sale20240104008,Sale,2024-01-04,2024-01-04,636.75,636.75,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,212.25,Cash,C005,31.84,604.91,450.0,186.75,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,75250.0,75250.0,Director,Supervisor,Unpaid,350.0,Account Payable,S002,Supplier 2,F002,Business Meal Set,215.0,350.0,,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,460800.0,460800.0,Director,Senior Staff,Paid,2880.0,Cash,S010,Supplier 10,F004,Banquet Set,160.0,2880.0,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,466.05,466.05,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,276.48,276.48,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,404.49212704,404.49212704,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105010,Sale,2024-01-05,2024-01-05,5153.67,5153.67,,,Unpaid,2880.0,,,,F004,Banquet Set,1.0,5153.67,Account Receviable,C003,257.68,4895.99,2880.0,2273.67,,
Sale20240105011,Sale,2024-01-05,2024-01-05,673.17,673.17,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,224.39,Cash,C001,33.66,639.51,450.0,223.16999999999996,,
Sale20240105012,Sale,2024-01-05,2024-01-05,808.6,808.6,,,Paid,150.0,,,,F001,Quick Meal Set,4.0,202.15,Cash,C010,40.43,768.17,600.0,208.60000000000002,,
Sale20240105013,Sale,2024-01-05,2024-01-05,19761.63,19761.63,,,Paid,5000.0,,,,R003,Luxury Suite,3.0,6587.21,Cash,C017,988.08,18773.55,15000.0,4761.630000000001,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,181280.0,181280.0,Director,Supervisor,Paid,880.0,Bank Transfer,S006,Supplier 6,F003,Deluxe Meal Set,206.0,880.0,,,,,,,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,448000.0,448000.0,Director,Supervisor,Paid,2000.0,Bank Transfer,S002,Supplier 2,R002,Business Room,224.0,2000.0,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,970.96,970.96,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,348.48620704,348.48620704,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106014,Sale,2024-01-06,2024-01-06,7591.67,7591.67,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,7591.67,Cash,C018,379.58,7212.09,5000.0,2591.67,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,88550.0,88550.0,Director,Supervisor,Paid,350.0,Cash,S007,Supplier 7,F002,Business Meal Set,253.0,350.0,,,,,,,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,100800.0,100800.0,Director,Senior Staff,Unpaid,350.0,Account Payable,S002,Supplier 2,F002,Business Meal Set,288.0,350.0,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,921.96,921.96,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,480.42,480.42,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,348.48620704,348.48620704,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107016,Sale,2024-01-07,2024-01-07,1289.7,1289.7,,,Paid,880.0,,,,F003,Deluxe Meal Set,1.0,1289.7,Cash,C009,64.48,1225.22,880.0,409.70000000000005,,
Sale20240107017,Sale,2024-01-07,2024-01-07,6421.96,6421.96,,,Paid,2000.0,,,,R002,Business Room,2.0,3210.98,Cash,C009,321.1,6100.86,4000.0,2421.96,,
Sale20240107018,Sale,2024-01-07,2024-01-07,8753.02,8753.02,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,8753.02,Cash,C015,437.65,8315.37,5000.0,3753.0200000000004,,
