id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,371520.0,Director,Executive Director,Paid,Bank Transfer,2880.0,S009,Supplier 9,F004,Banquet Set,129.0,2880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 129.0 units at a unit price of $2880.00, totaling $371520.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Executive Director, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231002,Purchase,2023-12-31,829440.0,Director,Director,Unpaid,Account Payable,2880.0,S001,Supplier 1,F004,Banquet Set,288.0,2880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 288.0 units at a unit price of $2880.00, totaling $829440.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Director, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240101001,Administrative Expenses,2024-01-01,989.5,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $989.50. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Executive Director, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45754.08,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45754.08.",
Interest20240101001,Interest Receivables,2024-01-01,411.93,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $411.93. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102001,Sale,2024-01-02,18819.04,,,Paid,,2880.0,,,F004,Banquet Set,4.0,4704.76,Cash,C019,940.95,17878.09,11520.0,7299.04,"On January 02, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $4704.76, totaling $18819.04. The cost amount for this transaction was $11520.00, with a tax amount of $940.95, leading to a total amount due of $17878.09. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240102002,Sale,2024-01-02,17329.28,,,Paid,,2880.0,,,F004,Banquet Set,4.0,4332.32,Cash,C004,866.46,16462.82,11520.0,5809.28,"On January 02, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $4332.32, totaling $17329.28. The cost amount for this transaction was $11520.00, with a tax amount of $866.46, leading to a total amount due of $16462.82. The receive_method of this transaction was cash, and this transaction was paid.",
