Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,2882590.91,2024-02-01
Bank Deposits,5000000.00,2023-12-31,2698390.00,2024-02-01
Interest Receivable,0.00,2023-12-31,9066.78,2024-02-01
Accounts Receivable,0.00,2023-12-31,330748.44,2024-02-01
Inventory,0.00,2023-12-31,7832820.00,2024-02-01
Total Current Assets,8000000.00,2023-12-31,13753616.13,2024-02-01
Fixed Assets,8000000.00,2023-12-31,8000000.00,2024-02-01
Accumulated Depreciation,0.00,2023-12-31,91509.94,2024-02-01
Total Non-current Assets,8000000.00,2023-12-31,7908490.06,2024-02-01
Total Assets,16000000.00,2023-12-31,21662106.19,2024-02-01
Accounts Payable,0.00,2023-12-31,5472810.00,2024-02-01
Taxes Payable,0.00,2023-12-31,43168.61,2024-02-01
Total Current Liabilities,0.00,2023-12-31,5515978.61,2024-02-01
Paid-in Capital,16000000.00,2023-12-31,16000000.00,2024-02-01
Retained Earnings,0.00,2023-12-31,146127.58,2024-02-01
Total Owner's Equity,16000000.00,2023-12-31,16146127.58,2024-02-01
Total Liabilities and Owner's Equity,16000000.00,2023-12-31,21662106.19,2024-02-01
