id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,371520.0,371520.0,Director,Executive Director,Paid,Bank Transfer,2880.0,S009,Supplier 9,F004,Banquet Set,129.0,2880.0,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,829440.0,829440.0,Director,Director,Unpaid,Account Payable,2880.0,S001,Supplier 1,F004,Banquet Set,288.0,2880.0,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,989.5,989.5,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45754.08,45754.08,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,411.93471999999997,411.93471999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240102001,Sale,2024-01-02,2024-01-02,18819.04,18819.04,,,Paid,,2880.0,,,F004,Banquet Set,4.0,4704.76,Cash,C019,940.95,17878.09,11520.0,7299.040000000001
Sale20240102002,Sale,2024-01-02,2024-01-02,17329.28,17329.28,,,Paid,,2880.0,,,F004,Banquet Set,4.0,4332.32,Cash,C004,866.46,16462.82,11520.0,5809.279999999999
Purchase20231231003,Purchase,2023-12-31,2023-12-31,35000.0,35000.0,Director,Manager,Paid,Bank Transfer,350.0,S005,Supplier 5,F002,Business Meal Set,100.0,350.0,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,392.88,392.88,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,417.55,417.55,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,408.81971999999996,408.81971999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240103003,Sale,2024-01-03,2024-01-03,19664.3,19664.3,,,Paid,,2880.0,,,F004,Banquet Set,5.0,3932.86,Cash,C003,983.22,18681.08,14400.0,5264.299999999999
Sale20240103004,Sale,2024-01-03,2024-01-03,12789.78,12789.78,,,Paid,,2880.0,,,F004,Banquet Set,3.0,4263.26,Cash,C015,639.49,12150.29,8640.0,4149.780000000001
Sale20240103005,Sale,2024-01-03,2024-01-03,1856.24,1856.24,,,Paid,,350.0,,,F002,Business Meal Set,4.0,464.06,Cash,C014,92.81,1763.43,1400.0,456.24
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1250000.0,1250000.0,Director,Executive Director,Unpaid,Account Payable,5000.0,S005,Supplier 5,R003,Luxury Suite,250.0,5000.0,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,328.42,328.42,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,839.97,839.97,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,408.81971999999996,408.81971999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240104006,Sale,2024-01-04,2024-01-04,6734.92,6734.92,,,Paid,,5000.0,,,R003,Luxury Suite,1.0,6734.92,Cash,C018,336.75,6398.17,5000.0,1734.92
Sale20240104007,Sale,2024-01-04,2024-01-04,2565.95,2565.95,,,Unpaid,,350.0,,,F002,Business Meal Set,5.0,513.19,Account Receviable,C007,128.3,2437.65,1750.0,815.9499999999998
Purchase20231231005,Purchase,2023-12-31,2023-12-31,246000.0,246000.0,Director,Senior Supervisor,Unpaid,Account Payable,2000.0,S002,Supplier 2,R002,Business Room,123.0,2000.0,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,582000.0,582000.0,Director,Senior Supervisor,Paid,Bank Transfer,2000.0,S003,Supplier 3,R002,Business Room,291.0,2000.0,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,585.95,585.95,Director,Director,Paid,Cash,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,357.02171999999996,357.02171999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240105008,Sale,2024-01-05,2024-01-05,28836.04,28836.04,,,Paid,,5000.0,,,R003,Luxury Suite,4.0,7209.01,Cash,C019,1441.8,27394.24,20000.0,8836.04
Sale20240105009,Sale,2024-01-05,2024-01-05,15165.24,15165.24,,,Unpaid,,2880.0,,,F004,Banquet Set,3.0,5055.08,Account Receviable,C014,758.26,14406.98,8640.0,6525.24
Sale20240105010,Sale,2024-01-05,2024-01-05,35700.75,35700.75,,,Unpaid,,5000.0,,,R003,Luxury Suite,5.0,7140.15,Account Receviable,C018,1785.04,33915.71,25000.0,10700.75
Purchase20231231007,Purchase,2023-12-31,2023-12-31,140800.0,140800.0,Director,Senior Supervisor,Unpaid,Account Payable,880.0,S007,Supplier 7,F003,Deluxe Meal Set,160.0,880.0,,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,397.91,397.91,Director,Director,Paid,Cash,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,357.02171999999996,357.02171999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240106011,Sale,2024-01-06,2024-01-06,16612.72,16612.72,,,Unpaid,,2880.0,,,F004,Banquet Set,4.0,4153.18,Account Receviable,C019,830.64,15782.08,11520.0,5092.720000000001
Sale20240106012,Sale,2024-01-06,2024-01-06,14084.46,14084.46,,,Unpaid,,2880.0,,,F004,Banquet Set,3.0,4694.82,Account Receviable,C016,704.22,13380.24,8640.0,5444.459999999999
Sale20240106013,Sale,2024-01-06,2024-01-06,10783.4,10783.4,,,Paid,,2000.0,,,R002,Business Room,4.0,2695.85,Cash,C011,539.17,10244.23,8000.0,2783.3999999999996
Sale20240106014,Sale,2024-01-06,2024-01-06,7996.52,7996.52,,,Paid,,2880.0,,,F004,Banquet Set,2.0,3998.26,Cash,C016,399.83,7596.69,5760.0,2236.5200000000004
Purchase20231231008,Purchase,2023-12-31,2023-12-31,254320.0,254320.0,Director,Senior Supervisor,Unpaid,Account Payable,880.0,S010,Supplier 10,F003,Deluxe Meal Set,289.0,880.0,,,,,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,240240.0,240240.0,Director,Senior Supervisor,Paid,Bank Transfer,880.0,S006,Supplier 6,F003,Deluxe Meal Set,273.0,880.0,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,420.21,420.21,Director,Director,Paid,Cash,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,207.85,207.85,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,335.64036,335.64036,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240107017,Sale,2024-01-07,2024-01-07,1214.62,1214.62,,,Paid,,350.0,,,F002,Business Meal Set,2.0,607.31,Cash,C005,60.73,1153.89,700.0,514.6199999999999
Purchase20231231010,Purchase,2023-12-31,2023-12-31,216000.0,216000.0,Director,Director,Paid,Bank Transfer,1500.0,S003,Supplier 3,R001,Standard Room,144.0,1500.0,,,,,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,540000.0,540000.0,Director,Senior Supervisor,Unpaid,Account Payable,5000.0,S008,Supplier 8,R003,Luxury Suite,108.0,5000.0,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,113.9,113.9,Director,Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,618.18,618.18,Director,Director,Paid,Cash,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,316.41636,316.41636,,,Unpaid,,,,,,,,,Interest receviable,,,,,
