id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,72100.0,Director,Supervisor,Unpaid,350.0,Account Payable,S002,Supplier 2,F002,Business Meal Set,206.0,350.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 206.0 units at a unit price of $350.00, totaling $72100.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231002,Purchase,2023-12-31,54950.0,Director,Supervisor,Paid,350.0,Bank Transfer,S008,Supplier 8,F002,Business Meal Set,157.0,350.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 157.0 units at a unit price of $350.00, totaling $54950.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231003,Purchase,2023-12-31,171600.0,Director,Supervisor,Paid,880.0,Cash,S010,Supplier 10,F003,Deluxe Meal Set,195.0,880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 195.0 units at a unit price of $880.00, totaling $171600.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240101001,Administrative Expenses,2024-01-01,420.61,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $420.61. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240101001,Sales Expenses,2024-01-01,912.25,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $912.25. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45746.47,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45746.47.",
Interest20240101001,Interest Receivables,2024-01-01,440.11,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $440.11. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
