Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,56497.85,2024-02-05
Depreciation ,91488.35,2024-02-05
(Increase) Decrease in Accounts Receivable ,-200359.99,2024-02-05
(Increase) Decrease in Interest Receivable ,-9881.70,2024-02-05
(Increase) Decrease in Inventory ,-7848830.00,2024-02-05
Increase (Decrease) in Accounts Payable ,5015020.00,2024-02-05
Increase (Decrease) in Tax Payable ,27369.63,2024-02-05
Net Cash Flow from Operating Activities ,-2868695.86,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,0.00,2024-02-05
Net Cash Flow from Investing Activities ,-0.00,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,8000000.00,2024-02-05
Ending Balance ,5131304.14,2024-02-05
Net Increase ,-2868695.86,2024-02-05
