id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,cost_per_unit,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,72100.0,72100.0,Director,Supervisor,Unpaid,350.0,Account Payable,S002,Supplier 2,F002,Business Meal Set,206.0,350.0,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,54950.0,54950.0,Director,Supervisor,Paid,350.0,Bank Transfer,S008,Supplier 8,F002,Business Meal Set,157.0,350.0,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,171600.0,171600.0,Director,Supervisor,Paid,880.0,Cash,S010,Supplier 10,F003,Deluxe Meal Set,195.0,880.0,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,420.61,420.61,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,912.25,912.25,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45746.47,45746.47,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,440.10945,440.10945,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240102002,Sale,2024-01-02,2024-01-02,1397.44,1397.44,,,Paid,880.0,,,,F003,Deluxe Meal Set,1.0,1397.44,Cash,C001,69.87,1327.57,880.0,517.44
Sale20240102003,Sale,2024-01-02,2024-01-02,2408.0,2408.0,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,2.0,1204.0,Account Receviable,C010,120.4,2287.6,1760.0,648.0
Sale20240102004,Sale,2024-01-02,2024-01-02,6922.9,6922.9,,,Paid,880.0,,,,F003,Deluxe Meal Set,5.0,1384.58,Cash,C012,346.14,6576.76,4400.0,2522.8999999999996
Purchase20231231004,Purchase,2023-12-31,2023-12-31,67900.0,67900.0,Director,Supervisor,Paid,350.0,Bank Transfer,S004,Supplier 4,F002,Business Meal Set,194.0,350.0,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,545000.0,545000.0,Director,Supervisor,Paid,5000.0,Bank Transfer,S007,Supplier 7,R003,Luxury Suite,109.0,5000.0,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,1380000.0,1380000.0,Director,Supervisor,Unpaid,5000.0,Account Payable,S008,Supplier 8,R003,Luxury Suite,276.0,5000.0,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,593.54,593.54,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,742.01,742.01,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,385.56135,385.56135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240103007,Sale,2024-01-03,2024-01-03,15249.8,15249.8,,,Paid,5000.0,,,,R003,Luxury Suite,2.0,7624.9,Cash,C003,762.49,14487.31,10000.0,5249.799999999999
Sale20240103008,Sale,2024-01-03,2024-01-03,5685.32,5685.32,,,Paid,880.0,,,,F003,Deluxe Meal Set,4.0,1421.33,Cash,C005,284.27,5401.05,3520.0,2165.3199999999997
Sale20240103009,Sale,2024-01-03,2024-01-03,6270.55,6270.55,,,Paid,880.0,,,,F003,Deluxe Meal Set,5.0,1254.11,Cash,C005,313.53,5957.02,4400.0,1870.5500000000002
Sale20240103010,Sale,2024-01-03,2024-01-03,8261.72,8261.72,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,8261.72,Cash,C006,413.09,7848.63,5000.0,3261.7199999999993
Purchase20231231007,Purchase,2023-12-31,2023-12-31,206000.0,206000.0,Director,Supervisor,Paid,2000.0,Cash,S004,Supplier 4,R002,Business Room,103.0,2000.0,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,244500.0,244500.0,Director,Supervisor,Unpaid,1500.0,Account Payable,S009,Supplier 9,R001,Standard Room,163.0,1500.0,,,,,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,16650.0,16650.0,Director,Supervisor,Unpaid,150.0,Account Payable,S001,Supplier 1,F001,Quick Meal Set,111.0,150.0,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,619.55,619.55,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,911.56,911.56,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,385.56135,385.56135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240104013,Sale,2024-01-04,2024-01-04,1333.7,1333.7,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,266.74,Cash,C007,66.69,1267.01,750.0,583.7
Sale20240104014,Sale,2024-01-04,2024-01-04,463.31,463.31,,,Unpaid,350.0,,,,F002,Business Meal Set,1.0,463.31,Account Receviable,C013,23.17,440.14,350.0,113.31
Sale20240104015,Sale,2024-01-04,2024-01-04,5713.16,5713.16,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,4.0,1428.29,Account Receviable,C016,285.66,5427.5,3520.0,2193.16
Purchase20231231010,Purchase,2023-12-31,2023-12-31,1380000.0,1380000.0,Director,Supervisor,Paid,5000.0,Bank Transfer,S009,Supplier 9,R003,Luxury Suite,276.0,5000.0,,,,,,
Purchase20231231011,Purchase,2023-12-31,2023-12-31,35850.0,35850.0,Director,Supervisor,Unpaid,150.0,Account Payable,S009,Supplier 9,F001,Quick Meal Set,239.0,150.0,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,505.9,505.9,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,651.53,651.53,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240105017,Sale,2024-01-05,2024-01-05,1717.44,1717.44,,,Paid,350.0,,,,F002,Business Meal Set,3.0,572.48,Cash,C008,85.87,1631.57,1050.0,667.44
Sale20240105018,Sale,2024-01-05,2024-01-05,4539.75,4539.75,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1513.25,Cash,C013,226.99,4312.76,2640.0,1899.75
Sale20240105019,Sale,2024-01-05,2024-01-05,4599.18,4599.18,,,Paid,1500.0,,,,R001,Standard Room,2.0,2299.59,Cash,C003,229.96,4369.22,3000.0,1599.1800000000003
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,103.43,103.43,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240106020,Sale,2024-01-06,2024-01-06,2207.08,2207.08,,,Unpaid,1500.0,,,,R001,Standard Room,1.0,2207.08,Account Receviable,C019,110.35,2096.73,1500.0,707.0799999999999
Sale20240106021,Sale,2024-01-06,2024-01-06,2677.56,2677.56,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,2.0,1338.78,Account Receviable,C013,133.88,2543.68,1760.0,917.56
Sale20240106022,Sale,2024-01-06,2024-01-06,220.54,220.54,,,Unpaid,150.0,,,,F001,Quick Meal Set,1.0,220.54,Account Receviable,C015,11.03,209.51,150.0,70.53999999999999
Sale20240106023,Sale,2024-01-06,2024-01-06,8819.56,8819.56,,,Paid,1500.0,,,,R001,Standard Room,4.0,2204.89,Cash,C019,440.98,8378.58,6000.0,2819.5599999999995
Purchase20231231012,Purchase,2023-12-31,2023-12-31,427500.0,427500.0,Director,Supervisor,Paid,1500.0,Cash,S008,Supplier 8,R001,Standard Room,285.0,1500.0,,,,,,
