Account,Amount,Date
Main Business Revenue,5760023.09,2024-01-28
Total Revenue,5760023.09,2024-01-28
Cost of Goods Sold,3140000.00,2024-01-28
Total Cost,3140000.00,2024-01-28
Gross Profit,2620023.09,2024-01-28
Administrative Expenses,286483.51,2024-01-28
Selling Expenses,793728.19,2024-01-28
Depreciation,45760.13,2024-01-28
Financial Expenses,112130.48,2024-01-28
Total Expenses,1238102.31,2024-01-28
Interest Income,11346.19,2024-01-28
Profit Before Tax,1393266.97,2024-01-28
Tax Expense,288001.20,2024-01-28
Net Profit,1105265.77,2024-01-28
