id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S003,Supplier 3,P001,Premium Product A,8.0,5000.0,,,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Director,Senior Staff,Unpaid,Account Payable,20000.0,S002,Supplier 2,P003,Premium Product C,3.0,20000.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Director,Senior Staff,Unpaid,Account Payable,10000.0,S010,Supplier 10,P002,Premium Product B,6.0,10000.0,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Senior Staff,Unpaid,Account Payable,20000.0,S002,Supplier 2,P003,Premium Product C,5.0,20000.0,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,3623.3,3623.3,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Financial Expenses,2024-01-01,2024-01-01,20805.83,20805.83,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,27596.64,27596.64,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45760.130000000005,45760.130000000005,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102003,Sale,2024-01-02,2024-01-02,104707.68,104707.68,,,Paid,,20000.0,,,P003,Premium Product C,3.0,34902.56,Cash,C018,5235.38,99472.3,60000.0,44707.67999999999,,
Sale20240102004,Sale,2024-01-02,2024-01-02,25578.75,25578.75,,,Paid,,5000.0,,,P001,Premium Product A,3.0,8526.25,Cash,C019,1278.94,24299.81,15000.0,10578.75,,
Sale20240102005,Sale,2024-01-02,2024-01-02,25862.64,25862.64,,,Unpaid,,5000.0,,,P001,Premium Product A,3.0,8620.88,Account Receviable,C018,1293.13,24569.51,15000.0,10862.64,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,45000.0,45000.0,Director,Senior Staff,Unpaid,Account Payable,5000.0,S001,Supplier 1,P001,Premium Product A,9.0,5000.0,,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Cash,50000.0,S010,Supplier 10,P004,Premium Product D,10.0,50000.0,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,25623.25,25623.25,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,23995.56,23995.56,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103008,Sale,2024-01-03,2024-01-03,116350.08,116350.08,,,Unpaid,,20000.0,,,P003,Premium Product C,3.0,38783.36,Account Receviable,C016,5817.5,110532.58,60000.0,56350.08,,
Sale20240103009,Sale,2024-01-03,2024-01-03,92066.84,92066.84,,,Paid,,50000.0,,,P004,Premium Product D,1.0,92066.84,Cash,C013,4603.34,87463.5,50000.0,42066.84,,
Sale20240103010,Sale,2024-01-03,2024-01-03,38564.61,38564.61,,,Paid,,20000.0,,,P003,Premium Product C,1.0,38564.61,Cash,C001,1928.23,36636.38,20000.0,18564.61,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,22391.18,22391.18,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,15317.72,15317.72,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104013,Sale,2024-01-04,2024-01-04,9184.31,9184.31,,,Paid,,5000.0,,,P001,Premium Product A,1.0,9184.31,Cash,C014,459.22,8725.09,5000.0,4184.3099999999995,,
Sale20240104014,Sale,2024-01-04,2024-01-04,18310.19,18310.19,,,Paid,,10000.0,,,P002,Premium Product B,1.0,18310.19,Cash,C011,915.51,17394.68,10000.0,8310.189999999999,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,70000.0,70000.0,Director,Senior Staff,Paid,Bank Transfer,10000.0,S004,Supplier 4,P002,Premium Product B,7.0,10000.0,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,7257.01,7257.01,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,13238.02,13238.02,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105017,Sale,2024-01-05,2024-01-05,176508.38,176508.38,,,Paid,,50000.0,,,P004,Premium Product D,2.0,88254.19,Cash,C018,8825.42,167682.96,100000.0,76508.38,,
Sale20240105018,Sale,2024-01-05,2024-01-05,26547.21,26547.21,,,Paid,,5000.0,,,P001,Premium Product A,3.0,8849.07,Cash,C017,1327.36,25219.85,15000.0,11547.21,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,14340.79,14340.79,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,5171.17,5171.17,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,27870.0,27870.0,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106021,Sale,2024-01-06,2024-01-06,38390.92,38390.92,,,Paid,,20000.0,,,P003,Premium Product C,1.0,38390.92,Cash,C003,1919.55,36471.37,20000.0,18390.92,,
Sale20240106022,Sale,2024-01-06,2024-01-06,19087.9,19087.9,,,Unpaid,,5000.0,,,P001,Premium Product A,2.0,9543.95,Account Receviable,C010,954.4,18133.5,10000.0,9087.900000000001,,
Sale20240106023,Sale,2024-01-06,2024-01-06,95027.97,95027.97,,,Paid,,50000.0,,,P004,Premium Product D,1.0,95027.97,Cash,C008,4751.4,90276.57,50000.0,45027.97,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,20000.0,20000.0,Director,Senior Staff,Unpaid,Account Payable,5000.0,S005,Supplier 5,P001,Premium Product A,4.0,5000.0,,,,,,,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,160000.0,160000.0,Director,Senior Staff,Unpaid,Account Payable,20000.0,S008,Supplier 8,P003,Premium Product C,8.0,20000.0,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,14264.83,14264.83,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,8078.26,8078.26,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,25602.95,25602.95,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,435.21,435.21,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107025,Sale,2024-01-07,2024-01-07,18517.52,18517.52,,,Paid,,5000.0,,,P001,Premium Product A,2.0,9258.76,Cash,C007,925.88,17591.64,10000.0,8517.52,,
