id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,200000.0,Director,Staff,Paid,Bank Transfer,20000.0,S008,Supplier 8,P003,Premium Product C,10.0,20000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 10.0 units at a unit price of $20000.00, totaling $200000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240101001,Sales Expenses,2024-01-01,16483.36,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $16483.36. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240101001,Administrative Expenses,2024-01-01,21993.97,Director,Staff,Paid,Cash,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $21993.97. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45757.71,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45757.71.",
Interest20240101001,Interest Receivables,2024-01-01,427.2,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $427.20. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102002,Sale,2024-01-02,39170.93,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,39170.93,Account Receviable,C009,1958.55,37212.38,20000.0,19170.93,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $39170.93, totaling $39170.93. The cost amount for this transaction was $20000.00, with a tax amount of $1958.55, leading to a total amount due of $37212.38. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240102003,Sale,2024-01-02,70156.46,,,Paid,,20000.0,,,P003,Premium Product C,2.0,35078.23,Cash,C002,3507.82,66648.64,40000.0,30156.46,"On January 02, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $35078.23, totaling $70156.46. The cost amount for this transaction was $40000.00, with a tax amount of $3507.82, leading to a total amount due of $66648.64. The receive_method of this transaction was cash, and this transaction was paid.",
