id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Director,Staff,Paid,Bank Transfer,20000.0,S008,Supplier 8,P003,Premium Product C,10.0,20000.0,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,16483.36,16483.36,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,21993.97,21993.97,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45757.71,45757.71,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,427.2,427.2,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240102002,Sale,2024-01-02,2024-01-02,39170.93,39170.93,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,39170.93,Account Receviable,C009,1958.55,37212.38,20000.0,19170.93
Sale20240102003,Sale,2024-01-02,2024-01-02,70156.46,70156.46,,,Paid,,20000.0,,,P003,Premium Product C,2.0,35078.23,Cash,C002,3507.82,66648.64,40000.0,30156.460000000006
Purchase20231231002,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Staff,Paid,Bank Transfer,50000.0,S008,Supplier 8,P004,Premium Product D,10.0,50000.0,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,70000.0,70000.0,Director,Staff,Paid,Bank Transfer,10000.0,S009,Supplier 9,P002,Premium Product B,7.0,10000.0,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,7752.95,7752.95,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,18455.69,18455.69,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,6853.03,6853.03,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,376.46999999999997,376.46999999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240103005,Sale,2024-01-03,2024-01-03,37948.22,37948.22,,,Paid,,10000.0,,,P002,Premium Product B,2.0,18974.11,Cash,C012,1897.41,36050.81,20000.0,17948.22
Sale20240103006,Sale,2024-01-03,2024-01-03,179770.4,179770.4,,,Unpaid,,50000.0,,,P004,Premium Product D,2.0,89885.2,Account Receviable,C004,8988.52,170781.88,100000.0,79770.4
Purchase20231231004,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Staff,Paid,Cash,10000.0,S005,Supplier 5,P002,Premium Product B,10.0,10000.0,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,27287.04,27287.04,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,3828.85,3828.85,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,28109.74,28109.74,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,376.46999999999997,376.46999999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240104009,Sale,2024-01-04,2024-01-04,256494.12,256494.12,,,Paid,,50000.0,,,P004,Premium Product D,3.0,85498.04,Cash,C003,12824.71,243669.41,150000.0,106494.12
Sale20240104010,Sale,2024-01-04,2024-01-04,55908.81,55908.81,,,Unpaid,,10000.0,,,P002,Premium Product B,3.0,18636.27,Account Receviable,C003,2795.44,53113.37,30000.0,25908.809999999998
Sale20240104011,Sale,2024-01-04,2024-01-04,58512.33,58512.33,,,Paid,,10000.0,,,P002,Premium Product B,3.0,19504.11,Cash,C016,2925.62,55586.71,30000.0,28512.33
Purchase20231231005,Purchase,2023-12-31,2023-12-31,35000.0,35000.0,Director,Staff,Unpaid,Account Payable,5000.0,S001,Supplier 1,P001,Premium Product A,7.0,5000.0,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Director,Staff,Paid,Bank Transfer,50000.0,S007,Supplier 7,P004,Premium Product D,4.0,50000.0,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,17877.99,17877.99,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240104001,Financial Expenses,2024-01-04,2024-01-04,9956.03,9956.03,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,29677.19,29677.19,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,358.66999999999996,358.66999999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240105014,Sale,2024-01-05,2024-01-05,36205.3,36205.3,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,36205.3,Account Receviable,C016,1810.27,34395.03,20000.0,16205.300000000003
Sale20240105015,Sale,2024-01-05,2024-01-05,34424.3,34424.3,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17212.15,Cash,C007,1721.22,32703.08,20000.0,14424.300000000003
Sale20240105016,Sale,2024-01-05,2024-01-05,116738.52,116738.52,,,Paid,,20000.0,,,P003,Premium Product C,3.0,38912.84,Cash,C012,5836.93,110901.59,60000.0,56738.520000000004
Sale20240105017,Sale,2024-01-05,2024-01-05,18198.26,18198.26,,,Paid,,10000.0,,,P002,Premium Product B,1.0,18198.26,Cash,C002,909.91,17288.35,10000.0,8198.259999999998
Purchase20231231007,Purchase,2023-12-31,2023-12-31,180000.0,180000.0,Director,Staff,Paid,Cash,20000.0,S008,Supplier 8,P003,Premium Product C,9.0,20000.0,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,4496.49,4496.49,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,26287.39,26287.39,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,19349.07,19349.07,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,358.66999999999996,358.66999999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240106020,Sale,2024-01-06,2024-01-06,34253.22,34253.22,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17126.61,Cash,C002,1712.66,32540.56,20000.0,14253.220000000001
Sale20240106021,Sale,2024-01-06,2024-01-06,109003.17,109003.17,,,Paid,,20000.0,,,P003,Premium Product C,3.0,36334.39,Cash,C016,5450.16,103553.01,60000.0,49003.17
Sale20240106022,Sale,2024-01-06,2024-01-06,27699.57,27699.57,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9233.19,Cash,C009,1384.98,26314.59,15000.0,12699.57
Purchase20231231008,Purchase,2023-12-31,2023-12-31,30000.0,30000.0,Director,Staff,Paid,Cash,10000.0,S008,Supplier 8,P002,Premium Product B,3.0,10000.0,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,18272.65,18272.65,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,10546.48,10546.48,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,18141.81,18141.81,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,358.66999999999996,358.66999999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240107025,Sale,2024-01-07,2024-01-07,36361.26,36361.26,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,18180.63,Account Receviable,C012,1818.06,34543.2,20000.0,16361.260000000002
