id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,25000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S008,Supplier 8,P001,Premium Product A,5.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 5.0 units at a unit price of $5000.00, totaling $25000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231002,Purchase,2023-12-31,90000.0,Director,Senior Staff,Unpaid,Account Payable,10000.0,S002,Supplier 2,P002,Premium Product B,9.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 9.0 units at a unit price of $10000.00, totaling $90000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231003,Purchase,2023-12-31,30000.0,Director,Senior Staff,Unpaid,Account Payable,5000.0,S003,Supplier 3,P001,Premium Product A,6.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 6.0 units at a unit price of $5000.00, totaling $30000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Purchase20231231004,Purchase,2023-12-31,250000.0,Director,Senior Staff,Paid,Cash,50000.0,S006,Supplier 6,P004,Premium Product D,5.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 5.0 units at a unit price of $50000.00, totaling $250000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240101001,Sales Expenses,2024-01-01,24861.73,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $24861.73. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240101001,Administrative Expenses,2024-01-01,29611.11,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $29611.11. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240101001,Sales Expenses,2024-01-01,16439.23,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $16439.23. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
