Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,3730866.78,2024-01-28
Bank Deposits,5000000.00,2023-12-31,3938781.80,2024-01-28
Interest Receivable,0.00,2023-12-31,10811.11,2024-01-28
Accounts Receivable,0.00,2023-12-31,1562598.26,2024-01-28
Inventory,0.00,2023-12-31,720000.00,2024-01-28
Total Current Assets,8000000.00,2023-12-31,9963057.95,2024-01-28
Fixed Assets,5000000.00,2023-12-31,5106218.20,2024-01-28
Accumulated Depreciation,0.00,2023-12-31,45749.30,2024-01-28
Total Non-current Assets,5000000.00,2023-12-31,5060468.90,2024-01-28
Total Assets,13000000.00,2023-12-31,15023526.85,2024-01-28
Accounts Payable,0.00,2023-12-31,545000.00,2024-01-28
Taxes Payable,0.00,2023-12-31,284755.77,2024-01-28
Total Current Liabilities,0.00,2023-12-31,829755.77,2024-01-28
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-28
Retained Earnings,0.00,2023-12-31,1193771.08,2024-01-28
Total Owner's Equity,13000000.00,2023-12-31,14193771.08,2024-01-28
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,15023526.85,2024-01-28
