Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-28
Net Profit ,1193771.08,2024-01-28
Depreciation ,45749.30,2024-01-28
(Increase) Decrease in Accounts Receivable ,-1562598.26,2024-01-28
(Increase) Decrease in Interest Receivable ,-10811.11,2024-01-28
(Increase) Decrease in Inventory ,-720000.00,2024-01-28
Increase (Decrease) in Accounts Payable ,545000.00,2024-01-28
Increase (Decrease) in Tax Payable ,284755.77,2024-01-28
Net Cash Flow from Operating Activities ,-224133.22,2024-01-28
Cash Flow from Investing Activities,,2024-01-28
Purchase of Fixed Assets ,106218.20,2024-01-28
Net Cash Flow from Investing Activities ,-106218.20,2024-01-28
Cash and Cash Equivalents,,2024-01-28
Beginning Balance ,8000000.00,2024-01-28
Ending Balance ,7669648.58,2024-01-28
Net Increase ,-330351.42,2024-01-28
