id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,cost_per_unit,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,180000.0,180000.0,Director,Staff,Unpaid,20000.0,Account Payable,S008,Supplier 8,P003,Premium Product C,9.0,20000.0,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,27754.04,27754.04,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,6461.03,6461.03,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45749.759999999995,45749.759999999995,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,445.0,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102003,Sale,2024-01-02,2024-01-02,39394.9,39394.9,,,Paid,20000.0,,,,P003,Premium Product C,1.0,39394.9,Cash,C009,1969.75,37425.15,20000.0,19394.9,,
Sale20240102004,Sale,2024-01-02,2024-01-02,38148.42,38148.42,,,Paid,20000.0,,,,P003,Premium Product C,1.0,38148.42,Cash,C006,1907.42,36241.0,20000.0,18148.42,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Director,Senior Staff,Paid,5000.0,Bank Transfer,S008,Supplier 8,P001,Premium Product A,8.0,5000.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,150000.0,150000.0,Director,Senior Staff,Unpaid,50000.0,Account Payable,S004,Supplier 4,P004,Premium Product D,3.0,50000.0,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,6031.59,6031.59,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,18889.24,18889.24,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,13598.33,13598.33,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103006,Sale,2024-01-03,2024-01-03,17983.04,17983.04,,,Unpaid,5000.0,,,,P001,Premium Product A,2.0,8991.52,Account Receviable,C008,899.15,17083.89,10000.0,7983.040000000001,,
Expense20240103001,Financial Expenses,2024-01-03,2024-01-03,29563.21,29563.21,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,27436.74,27436.74,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,441.44,441.44,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104008,Sale,2024-01-04,2024-01-04,90340.71,90340.71,,,Paid,50000.0,,,,P004,Premium Product D,1.0,90340.71,Cash,C015,4517.04,85823.67,50000.0,40340.71000000001,,
Sale20240104009,Sale,2024-01-04,2024-01-04,9073.85,9073.85,,,Paid,5000.0,,,,P001,Premium Product A,1.0,9073.85,Cash,C002,453.69,8620.16,5000.0,4073.8500000000004,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,350000.0,350000.0,Director,Supervisor,Unpaid,50000.0,Account Payable,S004,Supplier 4,P004,Premium Product D,7.0,50000.0,,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,45000.0,45000.0,Director,Senior Staff,Paid,5000.0,Bank Transfer,S008,Supplier 8,P001,Premium Product A,9.0,5000.0,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,17413.76,17413.76,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,11853.48,11853.48,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,11440.73,11440.73,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,437.435,437.435,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105012,Sale,2024-01-05,2024-01-05,26562.3,26562.3,,,Paid,5000.0,,,,P001,Premium Product A,3.0,8854.1,Cash,C020,1328.12,25234.18,15000.0,11562.3,,
Sale20240105013,Sale,2024-01-05,2024-01-05,26388.51,26388.51,,,Paid,5000.0,,,,P001,Premium Product A,3.0,8796.17,Cash,C002,1319.43,25069.08,15000.0,11388.509999999998,,
Sale20240105014,Sale,2024-01-05,2024-01-05,78070.82,78070.82,,,Unpaid,20000.0,,,,P003,Premium Product C,2.0,39035.41,Account Receviable,C004,3903.54,74167.28,40000.0,38070.82000000001,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,140000.0,140000.0,Director,Senior Staff,Paid,20000.0,Bank Transfer,S007,Supplier 7,P003,Premium Product C,7.0,20000.0,,,,,,,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Supervisor,Paid,10000.0,Bank Transfer,S006,Supplier 6,P002,Premium Product B,10.0,10000.0,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,17319.8,17319.8,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,13385.96,13385.96,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,3450.52,3450.52,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,416.075,416.075,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106017,Sale,2024-01-06,2024-01-06,38436.94,38436.94,,,Paid,10000.0,,,,P002,Premium Product B,2.0,19218.47,Cash,C018,1921.85,36515.09,20000.0,18436.940000000002,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,17441.5,17441.5,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240106001,Financial Expenses,2024-01-06,2024-01-06,7166.4,7166.4,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,15181.71,15181.71,Director,Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,416.075,416.075,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107019,Sale,2024-01-07,2024-01-07,36168.09,36168.09,,,Paid,20000.0,,,,P003,Premium Product C,1.0,36168.09,Cash,C016,1808.4,34359.69,20000.0,16168.089999999997,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,29279.52,29279.52,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,13430.69,13430.69,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,16376.52,16376.52,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,416.075,416.075,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240108022,Sale,2024-01-08,2024-01-08,173165.24,173165.24,,,Paid,50000.0,,,,P004,Premium Product D,2.0,86582.62,Cash,C007,8658.26,164506.98,100000.0,73165.23999999999,,
Sale20240108023,Sale,2024-01-08,2024-01-08,98199.15,98199.15,,,Paid,50000.0,,,,P004,Premium Product D,1.0,98199.15,Cash,C012,4909.96,93289.19,50000.0,48199.149999999994,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,11170.75,11170.75,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,
